country,year,population,electricity_generation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Africa,2000,47243054.0,210.86000370300002,,,,,,,,,,,,,
Africa,2001,47651426.0,210.289996303,,,,,,,,,,,,,
Africa,2002,48105292.0,220.810001804,,,,,,,,,,,,,
Africa,2003,48587407.0,234.470005504,,,,,,,,,,,,,
Africa,2004,49079595.0,244.840000604,,,,,,,,,,,,,
Africa,2005,49579329.0,245.229992712,,,,,,,,,,,,,
Africa,2006,50088662.0,254.129997593,,,,,,,,,,,,,
Africa,2007,50620058.0,263.829990204,,,,,,,,,,,,,
Africa,2008,51207158.0,258.630008504,,,,,,,,,,,,,
Africa,2009,51822162.0,249.909997594,,,,,,,,,,,,,
Africa,2010,52439040.0,259.969996295,,,,,,,,,,,,,
Africa,2011,53092253.0,262.880011006,,,,,,,,,,,,,
Africa,2012,53882135.0,258.279995096,,,,,,,,,,,,,
Africa,2013,54780897.0,256.389996898,,,,,,,,,,,,,
Africa,2014,55699503.0,255.220004288,,,,,,,,,,,,,
Africa,2015,56830783.0,250.510003108,,,,,,,,,,,,,
Africa,2016,57369386.0,253.3099976,,,,,,,,,,,,,
Africa,2017,57747601.0,255.64999939,,,,,,,,,,,,,
Africa,2018,58728054.0,256.819987781,,,,,,,,,,,,,
Africa,2019,59705542.0,253.640007293,,,,,,,,,,,,,
Africa,2020,60682673.0,241.330005474,,,,,,,,,,,,,
Africa,2021,61625602.0,246.060006724,,,,,,,,,,,,,
Africa,2022,62503950.0,239.78999820500002,,,,,,,,,,,,,
Africa,2023,63340347.0,233.569996905,,,,,,,,,,,,,
Africa,2024,64137623.0,248.150004295,,,,,,,,,,,,,
Africa,2025,64747319.0,242.7599945,,,,,,,,,,,,,
Asia Pacific,2000,2903495844.0,3862.87004701,,,,,,,,,,,,,
Asia Pacific,2001,2938429386.0,4036.98008007,,,,,,,,,,,,,
Asia Pacific,2002,2972027040.0,4300.57999027,,,,,,,,,,,,,
Asia Pacific,2003,3004507320.0,4612.9599114,,,,,,,,,,,,,
Asia Pacific,2004,3036709709.0,5053.50998688,,,,,,,,,,,,,
Asia Pacific,2005,3068711372.0,5434.6899756699995,,,,,,,,,,,,,
Asia Pacific,2006,3100814337.0,5895.18993455,,,,,,,,,,,,,
Asia Pacific,2007,3132729707.0,6433.530040430001,,,,,,,,,,,,,
Asia Pacific,2008,3164420440.0,6725.3699188400005,,,,,,,,,,,,,
Asia Pacific,2009,3196799863.0,6958.10991375,,,,,,,,,,,,,
Asia Pacific,2010,3229482711.0,7641.79021799,,,,,,,,,,,,,
Asia Pacific,2011,3261669752.0,8241.59989931,,,,,,,,,,,,,
Asia Pacific,2012,3294295366.0,8635.620132600001,,,,,,,,,,,,,
Asia Pacific,2013,3326767433.0,9149.28983686,,,,,,,,,,,,,
Asia Pacific,2014,3357842857.0,9646.82020597,,,,,,,,,,,,,
Asia Pacific,2015,3387376560.0,9733.77011889,,,,,,,,,,,,,
Asia Pacific,2016,3416776512.0,10227.340141229999,,,,,,,,,,,,,
Asia Pacific,2017,3446146332.0,10820.64989805,,,,,,,,,,,,,
Asia Pacific,2018,3472719097.0,11569.300190040001,,,,,,,,,,,,,
Asia Pacific,2019,3496116066.0,11945.600158000001,,,,,,,,,,,,,
Asia Pacific,2020,3516125578.0,12125.44988227,,,,,,,,,,,,,
Asia Pacific,2021,3530935918.0,13080.94979554,,,,,,,,,,,,,
Asia Pacific,2022,3543657587.0,13595.299926200001,,,,,,,,,,,,,
Asia Pacific,2023,3556769169.0,14320.40016119,,,,,,,,,,,,,
Asia Pacific,2024,3569356143.0,15163.57992732,,,,,,,,,,,,,
Asia Pacific,2025,3296154286.0,15348.48039455,,,,,,,,,,,,,
Europe,2000,710384690.0,4215.710007281,,,,,,,,,,,,,
Europe,2001,711851147.0,4295.589988037,,,,,,,,,,,,,
Europe,2002,714118381.0,4331.050041667,,,,,,,,,,,,,
Europe,2003,716687688.0,4432.179961992,,,,,,,,,,,,,
Europe,2004,718858588.0,4523.419918654,,,,,,,,,,,,,
Europe,2005,721019156.0,4599.900025022,,,,,,,,,,,,,
Europe,2006,722909983.0,4688.889958316,,,,,,,,,,,,,
Europe,2007,725289593.0,4766.870024122,,,,,,,,,,,,,
Europe,2008,728258087.0,4809.369952852,,,,,,,,,,,,,
Europe,2009,730995096.0,4585.189991108,,,,,,,,,,,,,
Europe,2010,733507100.0,4780.620012218,,,,,,,,,,,,,
Europe,2011,735970716.0,4764.390008254,,,,,,,,,,,,,
Europe,2012,738359572.0,4805.390038196,,,,,,,,,,,,,
Europe,2013,740862695.0,4758.759931971,,,,,,,,,,,,,
Europe,2014,744013123.0,4704.649933863,,,,,,,,,,,,,
Europe,2015,747974562.0,4764.880055916,,,,,,,,,,,,,
Europe,2016,751726788.0,4822.390021287,,,,,,,,,,,,,
Europe,2017,754927798.0,4875.500063309,,,,,,,,,,,,,
Europe,2018,757798648.0,4881.669949128001,,,,,,,,,,,,,
Europe,2019,760152842.0,4841.720064532,,,,,,,,,,,,,
Europe,2020,761460640.0,4690.370017857,,,,,,,,,,,,,
Europe,2021,761860499.0,4905.229952138,,,,,,,,,,,,,
Europe,2022,764032286.0,4814.279963729,,,,,,,,,,,,,
Europe,2023,766295867.0,4741.929995777,,,,,,,,,,,,,
Europe,2024,766044393.0,4860.250094071,,,,,,,,,,,,,
Europe,2025,764271850.0,4859.690040567,,,,,,,,,,,,,
Central and South America,2000,331175145.0,643.339988234,,,,,,,,,,,,,
Central and South America,2001,335802368.0,631.129988175,,,,,,,,,,,,,
Central and South America,2002,340310432.0,657.019994686,,,,,,,,,,,,,
Central and South America,2003,344702177.0,689.420010521,,,,,,,,,,,,,
Central and South America,2004,348999855.0,731.189991449,,,,,,,,,,,,,
Central and South America,2005,353238603.0,761.39000793,,,,,,,,,,,,,
Central and South America,2006,357428378.0,792.7000131560001,,,,,,,,,,,,,
Central and South America,2007,361613862.0,830.4600029420001,,,,,,,,,,,,,
Central and South America,2008,365779433.0,856.809999439,,,,,,,,,,,,,
Central and South America,2009,369860739.0,860.290021901,,,,,,,,,,,,,
Central and South America,2010,373840582.0,921.359994869,,,,,,,,,,,,,
Central and South America,2011,377749497.0,961.0100059900001,,,,,,,,,,,,,
Central and South America,2012,381593174.0,991.63001532,,,,,,,,,,,,,
Central and South America,2013,385376604.0,1024.49001026,,,,,,,,,,,,,
Central and South America,2014,389066135.0,1044.67997173,,,,,,,,,,,,,
Central and South America,2015,392583457.0,1055.22996144,,,,,,,,,,,,,
Central and South America,2016,396041193.0,1065.10002036,,,,,,,,,,,,,
Central and South America,2017,399706613.0,1087.0900048600001,,,,,,,,,,,,,
Central and South America,2018,403556439.0,1122.0900239,,,,,,,,,,,,,
Central and South America,2019,407323721.0,1152.08002662,,,,,,,,,,,,,
Central and South America,2020,410494839.0,1127.5400229000002,,,,,,,,,,,,,
Central and South America,2021,412902930.0,1170.18001932,,,,,,,,,,,,,
Central and South America,2022,415292268.0,1203.64996811,,,,,,,,,,,,,
Central and South America,2023,417966003.0,1247.35001276,,,,,,,,,,,,,
Central and South America,2024,420640609.0,1289.65996554,,,,,,,,,,,,,
Central and South America,2025,423197791.0,1299.17003153,,,,,,,,,,,,,
Middle East and Caspian,2000,36285191.0,96.890000346,,,,,,,,,,,,,
Middle East and Caspian,2001,36849166.0,99.44999980200001,,,,,,,,,,,,,
Middle East and Caspian,2002,37403778.0,103.020001416,,,,,,,,,,,,,
Middle East and Caspian,2003,37955919.0,103.810002333,,,,,,,,,,,,,
Middle East and Caspian,2004,38526500.0,105.939999578,,,,,,,,,,,,,
Middle East and Caspian,2005,39114786.0,105.929998399,,,,,,,,,,,,,
Middle East and Caspian,2006,39970452.0,111.00000095000001,,,,,,,,,,,,,
Middle East and Caspian,2007,40865704.0,115.6400013,,,,,,,,,,,,,
Middle East and Caspian,2008,41567275.0,121.16000176,,,,,,,,,,,,,
Middle East and Caspian,2009,42287192.0,119.10999774000001,,,,,,,,,,,,,
Middle East and Caspian,2010,43019290.0,125.30000018999999,,,,,,,,,,,,,
Middle East and Caspian,2011,43774648.0,127.03999805000001,,,,,,,,,,,,,
Middle East and Caspian,2012,44456822.0,132.59999847,,,,,,,,,,,,,
Middle East and Caspian,2013,45465246.0,133.19000053000002,,,,,,,,,,,,,
Middle East and Caspian,2014,46911882.0,134.88000107,,,,,,,,,,,,,
Middle East and Caspian,2015,48346995.0,140.70000268,,,,,,,,,,,,,
Middle East and Caspian,2016,49500940.0,145.3900013,,,,,,,,,,,,,
Middle East and Caspian,2017,50415195.0,149.06000328,,,,,,,,,,,,,
Middle East and Caspian,2018,51345866.0,152.53999901,,,,,,,,,,,,,
Middle East and Caspian,2019,52294059.0,156.80000114,,,,,,,,,,,,,
Middle East and Caspian,2020,53251985.0,159.9699974,,,,,,,,,,,,,
Middle East and Caspian,2021,54252977.0,166.9200058,,,,,,,,,,,,,
Middle East and Caspian,2022,55298365.0,174.51000213,,,,,,,,,,,,,
Middle East and Caspian,2023,56347842.0,178.00000382,,,,,,,,,,,,,
Middle East and Caspian,2024,57301759.0,185.57000161,,,,,,,,,,,,,
Middle East and Caspian,2025,46570610.0,168.79999542000002,,,,,,,,,,,,,
North America,2000,312375926.0,4405.9201053,,,,,,,,,,,,,
North America,2001,315493212.0,4315.3300778,,,,,,,,,,,,,
North America,2002,318619914.0,4444.019958,,,,,,,,,,,,,
North America,2003,321744574.0,4457.2099605,,,,,,,,,,,,,
North America,2004,324918928.0,4550.4499510000005,,,,,,,,,,,,,
North America,2005,328156838.0,4655.48999,,,,,,,,,,,,,
North America,2006,331489382.0,4655.3699337,,,,,,,,,,,,,
North America,2007,334936394.0,4776.7598264,,,,,,,,,,,,,
North America,2008,338419413.0,4742.6397704,,,,,,,,,,,,,
North America,2009,341849822.0,4553.6900631,,,,,,,,,,,,,
North America,2010,345259685.0,4720.9699703,,,,,,,,,,,,,
North America,2011,348660524.0,4727.1401365,,,,,,,,,,,,,
North America,2012,352037862.0,4677.2099,,,,,,,,,,,,,
North America,2013,355404173.0,4711.3001094,,,,,,,,,,,,,
North America,2014,358749642.0,4748.9797367,,,,,,,,,,,,,
North America,2015,362088732.0,4745.0700071,,,,,,,,,,,,,
North America,2016,365532768.0,4754.6900639,,,,,,,,,,,,,
North America,2017,369013155.0,4721.6600346,,,,,,,,,,,,,
North America,2018,372351488.0,4862.7498172,,,,,,,,,,,,,
North America,2019,375573003.0,4814.0798952,,,,,,,,,,,,,
North America,2020,377608059.0,4699.0699466,,,,,,,,,,,,,
North America,2021,378615496.0,4806.0201414,,,,,,,,,,,,,
North America,2022,380355300.0,4950.9701541,,,,,,,,,,,,,
North America,2023,382776428.0,4895.3001706,,,,,,,,,,,,,
North America,2024,385168995.0,5027.809998,,,,,,,,,,,,,
North America,2025,387402537.0,5172.2300414,,,,,,,,,,,,,
EU27,2000,427227456.0,2620.2599953970002,,,,,,,,,,,,,
EU27,2001,428175538.0,2696.979978849,,,,,,,,,,,,,
EU27,2002,429484954.0,2720.070005926,,,,,,,,,,,,,
EU27,2003,431053605.0,2797.690005072,,,,,,,,,,,,,
EU27,2004,432647805.0,2865.329934762,,,,,,,,,,,,,
EU27,2005,434143810.0,2882.150029725,,,,,,,,,,,,,
EU27,2006,435267707.0,2930.049971565,,,,,,,,,,,,,
EU27,2007,436577309.0,2945.410008972,,,,,,,,,,,,,
EU27,2008,438129258.0,2957.469962782,,,,,,,,,,,,,
EU27,2009,439270012.0,2806.1700096580003,,,,,,,,,,,,,
EU27,2010,440186311.0,2943.429999698,,,,,,,,,,,,,
EU27,2011,441015990.0,2906.510020904,,,,,,,,,,,,,
EU27,2012,441572632.0,2901.160026726,,,,,,,,,,,,,
EU27,2013,441970956.0,2881.429981661,,,,,,,,,,,,,
EU27,2014,442530264.0,2821.659993393,,,,,,,,,,,,,
EU27,2015,443465942.0,2869.070023886,,,,,,,,,,,,,
EU27,2016,444456226.0,2890.540066337,,,,,,,,,,,,,
EU27,2017,445228886.0,2921.330004089,,,,,,,,,,,,,
EU27,2018,446019111.0,2906.650000578,,,,,,,,,,,,,
EU27,2019,446865184.0,2872.430033332,,,,,,,,,,,,,
EU27,2020,447259311.0,2750.939979367,,,,,,,,,,,,,
EU27,2021,447181537.0,2872.770002898,,,,,,,,,,,,,
EU27,2022,448585269.0,2775.190038269,,,,,,,,,,,,,
EU27,2023,450124608.0,2707.849984417,,,,,,,,,,,,,
EU27,2024,449719948.0,2771.020017781,,,,,,,,,,,,,
EU27,2025,448447209.0,2794.900024327,,,,,,,,,,,,,
