Entity,Year,Greenhouse gas emissions per capita
Australia,2000,40.317493
Australia,2001,38.010326
Australia,2002,35.732056
Australia,2003,37.06214
Australia,2004,38.004784
Australia,2005,31.413286
Australia,2006,32.190773
Australia,2007,33.283916
Australia,2008,37.308044
Australia,2009,32.56265
Australia,2010,41.015854
Australia,2011,38.641823
Australia,2012,34.84383
Australia,2013,29.860008
Australia,2014,28.44425
Australia,2015,26.639627
Australia,2016,27.841095
Australia,2017,28.963062
Australia,2018,27.113306
Australia,2019,25.339125
Australia,2020,24.778906
Australia,2021,24.117104
Australia,2022,23.244148
Australia,2023,23.117304
Australia,2024,22.83231
Austria,2000,9.933071
Austria,2001,10.387493
Austria,2002,10.549829
Austria,2003,11.382799
Austria,2004,11.13809
Austria,2005,11.195336
Austria,2006,10.90451
Austria,2007,10.606105
Austria,2008,10.583739
Austria,2009,9.67923
Austria,2010,10.234332
Austria,2011,9.924477
Austria,2012,9.524514
Austria,2013,9.582816
Austria,2014,9.007916
Austria,2015,9.09775
Austria,2016,9.074407
Austria,2017,9.320249
Austria,2018,8.939235
Austria,2019,9.056224
Austria,2020,8.341348
Austria,2021,8.769088
Austria,2022,8.164064
Austria,2023,7.5781584
Austria,2024,7.482617
Belgium,2000,14.872246
Belgium,2001,14.621594
Belgium,2002,14.615368
Belgium,2003,14.615832
Belgium,2004,14.734936
Belgium,2005,14.199603
Belgium,2006,13.884735
Belgium,2007,13.4774885
Belgium,2008,13.310828
Belgium,2009,12.019967
Belgium,2010,12.566829
Belgium,2011,11.574674
Belgium,2012,11.282182
Belgium,2013,11.269594
Belgium,2014,10.723628
Belgium,2015,11.091791
Belgium,2016,10.846068
Belgium,2017,10.764667
Belgium,2018,10.799465
Belgium,2019,10.705454
Belgium,2020,9.895866
Belgium,2021,10.209646
Belgium,2022,9.570906
Belgium,2023,9.139
Belgium,2024,9.195861
Brazil,2000,16.227047
Brazil,2001,15.78761
Brazil,2002,16.700718
Brazil,2003,21.297302
Brazil,2004,18.140167
Brazil,2005,16.552488
Brazil,2006,15.103799
Brazil,2007,14.562687
Brazil,2008,13.744218
Brazil,2009,12.663623
Brazil,2010,12.504965
Brazil,2011,12.182661
Brazil,2012,12.714803
Brazil,2013,12.942455
Brazil,2014,13.135445
Brazil,2015,12.98077
Brazil,2016,12.3620615
Brazil,2017,11.87701
Brazil,2018,11.756933
