country,year,Urban_pct
Australia,2000,85.10716086
Austria,2000,66.7690239
Belgium,2000,82.01525204
Bulgaria,2000,68.26314545
Brazil,2000,81.14843654
Canada,2000,78.62929955
Switzerland,2000,73.30243052
Chile,2000,86.27109125
China,2000,36.43202347
Colombia,2000,74.34935702
Costa Rica,2000,59.0462379
Cyprus,2000,68.77269668
Czech Republic,2000,74.00382565
Germany,2000,80.09421609
Denmark,2000,85.09999847
Spain,2000,76.16505523
Estonia,2000,67.38552907
Finland,2000,67.12276853
France,2000,76.51439831
United Kingdom,2000,79.82414083
Greece,2000,72.66564291
Croatia,2000,55.68183193
Hungary,2000,64.26023444
Indonesia,2000,41.98615406
India,2000,27.64704075
Ireland,2000,59.12479979
Iceland,2000,91.9674192
Israel,2000,91.28096532
Italy,2000,67.19322838
Jordan,2000,78.28482475
Japan,2000,78.61268033
Korea,2000,79.57996075
Lithuania,2000,66.97683748
Luxembourg,2000,84.41821552
Latvia,2000,68.05205614
Mexico,2000,74.9203114
Malaysia,2000,61.96945645
Netherlands,2000,78.48268284
Norway,2000,76.13389224
New Zealand,2000,85.70596605
Poland,2000,61.74591606
Portugal,2000,54.40516354
Romania,2000,52.8619549
Russia,2000,73.1568222
Slovakia,2000,56.10588933
Slovenia,2000,50.69750298
Sweden,2000,84.04000092
Seychelles,2000,43.39742307
Thailand,2000,31.46262127
Turkiye,2000,58.970612
USA,2000,79.07408979
Uzbekistan,2000,47.6731005
Viet Nam,2000,24.36725269
South Africa,2000,56.25899549
Australia,2001,85.14810942
Austria,2001,66.84081613
Belgium,2001,82.33568939
Bulgaria,2001,69.19671198
Brazil,2001,81.59604506
Canada,2001,78.84147649
Switzerland,2001,73.37629926
Chile,2001,86.49063459
China,2001,37.65974426
Colombia,2001,74.79383717
Costa Rica,2001,60.14276004
Cyprus,2001,68.80240681
Czech Republic,2001,73.91317525
Germany,2001,80.10708083
Denmark,2001,85.18830788
Spain,2001,76.31568895
Estonia,2001,67.39264563
Finland,2001,67.49823928
France,2001,76.90744136
United Kingdom,2001,79.98383013
Greece,2001,72.84607038
Croatia,2001,55.69138291
Hungary,2001,64.64688028
Indonesia,2001,42.90188952
India,2001,27.90286521
Ireland,2001,59.37639236
Iceland,2001,92.04523046
Israel,2001,91.36502184
Italy,2001,67.27519882
Jordan,2001,78.29023653
Japan,2001,79.15774821
Korea,2001,79.87877044
Lithuania,2001,66.92860975
Luxembourg,2001,84.81732541
Latvia,2001,68.01636605
Mexico,2001,75.29075576
Malaysia,2001,63.01808777
Netherlands,2001,80.18405787
Norway,2001,76.39586193
New Zealand,2001,85.75451744
Poland,2001,61.75577086
Portugal,2001,55.0679833
Romania,2001,52.76480869
Russia,2001,73.22998047
Slovakia,2001,55.99684267
Slovenia,2001,50.75975035
Sweden,2001,84.08271528
Seychelles,2001,43.21729859
Thailand,2001,32.74280548
Turkiye,2001,59.87224614
USA,2001,79.30862237
Uzbekistan,2001,48.49018863
Viet Nam,2001,24.94893627
South Africa,2001,57.00143394
Australia,2002,85.28421028
Austria,2002,66.88874571
Belgium,2002,82.65096633
Bulgaria,2002,69.48591614
Brazil,2002,81.99434915
Canada,2002,79.09902348
Switzerland,2002,73.41953241
Chile,2002,86.61141151
China,2002,39.08978271
Colombia,2002,75.19244436
Costa Rica,2002,61.27876336
Cyprus,2002,68.78635894
Czech Republic,2002,73.83600676
Germany,2002,80.12139738
Denmark,2002,85.30000305
Spain,2002,76.49342172
Estonia,2002,67.4090871
Finland,2002,67.79516416
France,2002,77.25438666
United Kingdom,2002,80.11460627
Greece,2002,73.09771096
Croatia,2002,55.67454686
Hungary,2002,65.04000092
Indonesia,2002,43.7824069
India,2002,28.17568789
Ireland,2002,59.636726
Iceland,2002,92.16740226
Israel,2002,91.44449672
Italy,2002,67.35387866
Jordan,2002,78.29729189
Japan,2002,80.54698607
Korea,2002,80.27662945
Lithuania,2002,66.88871002
Luxembourg,2002,85.20342565
Latvia,2002,67.98134507
Mexico,2002,75.68407528
Malaysia,2002,64.05636847
Netherlands,2002,80.80852752
Norway,2002,76.79554425
New Zealand,2002,85.80615782
Poland,2002,61.75815346
Portugal,2002,55.78929987
Romania,2002,52.74664279
Russia,2002,73.2929008
Slovakia,2002,55.87761404
Slovenia,2002,50.77445563
Sweden,2002,84.13425084
Seychelles,2002,43.09484645
Thailand,2002,34.0732781
Turkiye,2002,60.73853427
USA,2002,79.54610398
Uzbekistan,2002,49.25745927
Viet Nam,2002,25.55409257
South Africa,2002,57.67235875
Australia,2003,85.40970778
Austria,2003,66.9263575
Belgium,2003,82.96095388
Bulgaria,2003,69.78084564
Brazil,2003,82.35403358
Canada,2003,79.39138067
Switzerland,2003,73.45187622
Chile,2003,86.6792973
China,2003,40.53023148
Colombia,2003,75.53418286
Costa Rica,2003,62.45180593
Cyprus,2003,68.71209732
Czech Republic,2003,73.76491502
Germany,2003,80.13731163
Denmark,2003,85.41999817
Spain,2003,76.70933559
Estonia,2003,67.43417603
Finland,2003,68.04255491
France,2003,77.4691216
United Kingdom,2003,80.23315933
Greece,2003,73.43226802
Croatia,2003,55.63869602
Hungary,2003,64.84529877
Indonesia,2003,44.63017615
India,2003,28.46602877
Ireland,2003,59.91201426
Iceland,2003,92.32355593
Israel,2003,91.51768978
Italy,2003,67.42994146
Jordan,2003,78.30694203
Japan,2003,82.42067784
Korea,2003,80.70779351
Lithuania,2003,66.75966644
Luxembourg,2003,85.59062951
Latvia,2003,67.94938405
Mexico,2003,76.04617034
Malaysia,2003,65.07509329
Netherlands,2003,81.30113089
Norway,2003,77.26000214
New Zealand,2003,85.85796206
Poland,2003,61.72813744
Portugal,2003,56.58655095
Romania,2003,52.80234938
Russia,2003,73.40573883
Slovakia,2003,55.73860072
Slovenia,2003,50.75538426
Sweden,2003,84.19542897
Seychelles,2003,43.00493286
Thailand,2003,35.42703544
Turkiye,2003,61.58450607
USA,2003,79.77733503
Uzbekistan,2003,49.95668815
Viet Nam,2003,26.17454078
South Africa,2003,58.37243412
Australia,2004,85.51876761
Austria,2004,66.95586129
Belgium,2004,83.26552308
Bulgaria,2004,69.91933441
Brazil,2004,82.68168248
Canada,2004,79.69230633
Switzerland,2004,73.47613175
Chile,2004,86.73367545
China,2004,41.76001358
Colombia,2004,75.80805695
Costa Rica,2004,63.65960135
Cyprus,2004,68.59081414
Czech Republic,2004,73.69916472
Germany,2004,80.15496949
Denmark,2004,85.71302769
Spain,2004,76.95496275
Estonia,2004,67.46735145
Finland,2004,68.27665968
France,2004,77.49005
United Kingdom,2004,80.34232849
Greece,2004,73.82676029
Croatia,2004,55.58908787
Hungary,2004,65.02253723
Indonesia,2004,45.44767364
India,2004,28.77260672
Ireland,2004,60.19947509
Iceland,2004,92.43772934
Israel,2004,91.58290081
Italy,2004,67.50724997
Jordan,2004,78.31853504
Japan,2004,84.37105419
Korea,2004,81.10438678
Lithuania,2004,66.60225677
Luxembourg,2004,85.97990972
Latvia,2004,67.92067028
Mexico,2004,76.32743974
Malaysia,2004,66.06478891
Netherlands,2004,82.25095314
Norway,2004,77.56845939
New Zealand,2004,85.90177083
Poland,2004,61.65551726
Portugal,2004,57.41718576
Romania,2004,52.91752955
Russia,2004,73.30657959
Slovakia,2004,55.58438334
Slovenia,2004,50.71244106
Sweden,2004,84.26707105
Seychelles,2004,42.92377569
Thailand,2004,36.78551628
Turkiye,2004,62.43884812
USA,2004,79.9960937
Uzbekistan,2004,50.56965102
Viet Nam,2004,26.80210013
South Africa,2004,59.0977391
Australia,2005,85.61908712
Austria,2005,66.97979507
Belgium,2005,83.56454497
Bulgaria,2005,70.08695984
Brazil,2005,82.98387996
Canada,2005,79.97606159
Switzerland,2005,73.49510009
Chile,2005,86.77682445
China,2005,42.98999786
Colombia,2005,76.0049389
Costa Rica,2005,64.89986322
Cyprus,2005,68.43406742
Czech Republic,2005,73.63755454
Germany,2005,80.17451685
Denmark,2005,86.00597068
Spain,2005,77.22068019
Estonia,2005,67.50805236
Finland,2005,68.51405295
France,2005,77.43633151
United Kingdom,2005,80.44559381
Greece,2005,74.26173767
Croatia,2005,55.53072175
Hungary,2005,66.12613678
Indonesia,2005,46.23737576
India,2005,29.09454972
Ireland,2005,60.4882988
Iceland,2005,92.37744102
Israel,2005,91.63842963
Italy,2005,67.58971693
Jordan,2005,78.41212623
Japan,2005,85.95736205
Korea,2005,81.39013523
Lithuania,2005,66.57849121
Luxembourg,2005,86.37356491
Latvia,2005,67.89539106
Mexico,2005,76.47486244
Malaysia,2005,67.01598202
Netherlands,2005,83.50489497
Norway,2005,77.82601489
New Zealand,2005,85.92993258
Poland,2005,61.54970108
Portugal,2005,58.24507634
Romania,2005,53.07450703
Russia,2005,73.16139221
Slovakia,2005,55.41898476
Slovenia,2005,50.6487814
Sweden,2005,84.34999847
Seychelles,2005,42.85103491
Thailand,2005,38.13015944
Turkiye,2005,63.33024703
USA,2005,80.19615817
Uzbekistan,2005,51.07812363
Viet Nam,2005,27.42858982
South Africa,2005,59.82417584
Australia,2006,85.74925443
Austria,2006,67.00069681
Belgium,2006,83.85789059
Bulgaria,2006,70.50752258
Brazil,2006,83.26721014
Canada,2006,80.2190661
Switzerland,2006,73.51158232
Chile,2006,86.81251234
China,2006,44.34300995
Colombia,2006,76.16191919
Costa Rica,2006,66.17030512
Cyprus,2006,68.25341517
Czech Republic,2006,73.57888319
Germany,2006,80.19609961
Denmark,2006,86.25012881
Spain,2006,77.49686488
Estonia,2006,67.55571775
Finland,2006,68.75882798
France,2006,77.34672401
United Kingdom,2006,80.54643536
Greece,2006,74.71775006
Croatia,2006,55.46859697
Hungary,2006,67.01558685
Indonesia,2006,47.00175887
India,2006,29.43098571
Ireland,2006,60.77036774
Iceland,2006,92.1949009
Israel,2006,91.68257604
Italy,2006,67.68125507
Jordan,2006,78.75561257
Japan,2006,87.1460899
Korea,2006,81.56646211
Lithuania,2006,66.63815308
Luxembourg,2006,86.77389368
Latvia,2006,67.87373366
Mexico,2006,76.49824557
Malaysia,2006,67.91919928
Netherlands,2006,84.65322804
Norway,2006,78.08772278
New Zealand,2006,85.93568417
Poland,2006,61.41996885
Portugal,2006,59.03409471
Romania,2006,53.25663807
Russia,2006,73.24391937
Slovakia,2006,55.24642784
Slovenia,2006,50.56725528
Sweden,2006,84.45532006
Seychelles,2006,42.78804314
Thailand,2006,39.4424037
Turkiye,2006,64.28738939
USA,2006,80.37130664
Uzbekistan,2006,51.46388172
Viet Nam,2006,28.04582906
South Africa,2006,60.52764652
Australia,2007,85.89685196
Austria,2007,67.02110449
Belgium,2007,84.14543096
Bulgaria,2007,70.68441772
Brazil,2007,83.53825713
Canada,2007,80.44256151
Switzerland,2007,73.52837951
Chile,2007,86.84450716
China,2007,45.88924408
Colombia,2007,76.31440388
Costa Rica,2007,67.46864065
Cyprus,2007,68.0604154
Czech Republic,2007,73.52194936
Germany,2007,80.21986366
Denmark,2007,86.42514644
Spain,2007,77.77389379
Estonia,2007,67.60978664
Finland,2007,69.02003773
France,2007,77.24579766
United Kingdom,2007,80.6483332
Greece,2007,75.17534735
Croatia,2007,55.40771287
Hungary,2007,67.00416565
Indonesia,2007,47.74329936
India,2007,29.78104268
Ireland,2007,61.06019794
Iceland,2007,92.36145717
Israel,2007,91.71363984
Italy,2007,67.78577713
Jordan,2007,79.33582707
Japan,2007,88.27014045
Korea,2007,81.7121258
Lithuania,2007,66.71849823
Luxembourg,2007,87.18319465
Latvia,2007,67.85588539
Mexico,2007,76.50473262
Malaysia,2007,68.76496739
Netherlands,2007,85.40892315
Norway,2007,78.40725026
New Zealand,2007,85.92918407
Poland,2007,61.27560052
Portugal,2007,59.7481129
Romania,2007,53.44727891
Russia,2007,73.38560486
Slovakia,2007,55.07073545
Slovenia,2007,50.47071271
Sweden,2007,84.59068755
Seychelles,2007,42.73613301
Thailand,2007,40.70368787
Turkiye,2007,65.33896182
USA,2007,80.51531729
Uzbekistan,2007,51.70870103
Viet Nam,2007,28.64563705
South Africa,2007,61.18405332
Australia,2008,86.0253817
Austria,2008,67.04355608
Belgium,2008,84.42703712
Bulgaria,2008,70.90209961
Brazil,2008,83.80360506
Canada,2008,80.66289449
Switzerland,2008,73.54829274
Chile,2008,86.87657694
China,2008,46.98950577
Colombia,2008,76.45967618
Costa Rica,2008,68.79258339
Cyprus,2008,67.86662613
Czech Republic,2008,73.46555174
Germany,2008,80.24595491
Denmark,2008,86.58313751
Spain,2008,78.0421439
Estonia,2008,67.66969802
Finland,2008,69.29436722
France,2008,77.15619016
United Kingdom,2008,80.75476739
Greece,2008,75.61507946
Croatia,2008,55.35306878
Hungary,2008,68.09769861
Indonesia,2008,48.4644736
India,2008,30.14384859
Ireland,2008,61.35819039
Iceland,2008,93.06464422
Israel,2008,91.72928689
Italy,2008,67.90719584
Jordan,2008,80.12909662
Japan,2008,89.29215638
Korea,2008,81.83508331
Lithuania,2008,66.7527771
Luxembourg,2008,87.60376642
Latvia,2008,67.84203352
Mexico,2008,76.50904283
Malaysia,2008,69.54381301
Netherlands,2008,85.61495825
Norway,2008,78.7541006
New Zealand,2008,85.91447231
Poland,2008,61.12587604
Portugal,2008,60.35100294
Romania,2008,53.62978582
Russia,2008,73.4822464
Slovakia,2008,54.89593045
Slovenia,2008,50.36200368
Sweden,2008,84.75173667
Seychelles,2008,42.69663713
Thailand,2008,41.89545074
Turkiye,2008,66.51365089
USA,2008,80.62196829
Uzbekistan,2008,51.7943573
Viet Nam,2008,29.21983301
South Africa,2008,61.76929839
Australia,2009,86.12781391
Austria,2009,67.07058957
Belgium,2009,84.70258011
Bulgaria,2009,71.30173492
Brazil,2009,84.06983803
Canada,2009,80.85918389
Switzerland,2009,73.57412309
Chile,2009,86.91248973
China,2009,48.34170532
Colombia,2009,76.59641458
Costa Rica,2009,70.13984695
Cyprus,2009,67.68360538
Czech Republic,2009,73.40848903
Germany,2009,80.27451924
Denmark,2009,86.76176531
Spain,2009,78.29199219
Estonia,2009,67.7348909
Finland,2009,69.54625997
France,2009,77.10053918
United Kingdom,2009,80.86921801
Greece,2009,76.01749627
Croatia,2009,55.30966403
Hungary,2009,68.45925903
Indonesia,2009,49.16775798
India,2009,30.5185314
Ireland,2009,61.64210227
Iceland,2009,93.44413406
Israel,2009,91.73197386
Italy,2009,68.04942395
Jordan,2009,81.1117481
Japan,2009,90.11311587
Korea,2009,81.92450451
Lithuania,2009,66.78166199
Luxembourg,2009,88.0379076
Latvia,2009,67.83236535
Mexico,2009,76.514393
Malaysia,2009,70.24626284
Netherlands,2009,86.22231796
Norway,2009,79.05708202
New Zealand,2009,85.89183455
Poland,2009,60.98007535
Portugal,2009,60.80663687
Romania,2009,53.78751503
Russia,2009,73.52886963
Slovakia,2009,54.7260357
Slovenia,2009,50.24397821
Sweden,2009,84.93410319
Seychelles,2009,42.67088812
Thailand,2009,42.99913112
Turkiye,2009,67.84014322
USA,2009,80.68503784
Uzbekistan,2009,51.61050415
Viet Nam,2009,29.75813474
South Africa,2009,62.25928391
Australia,2010,86.21986005
Austria,2010,67.10474293
Belgium,2010,84.97193096
Bulgaria,2010,71.51493073
Brazil,2010,84.34384604
Canada,2010,81.01208923
Switzerland,2010,73.60867164
Chile,2010,86.95601356
China,2010,49.23402706
Colombia,2010,76.72329757
Costa Rica,2010,71.5081449
Cyprus,2010,67.52291116
