country,year,Urban_pct
Africa,2000,99.65641855999999
Africa,2001,100.21873253
Africa,2002,100.7672052
Africa,2003,101.37736698
Africa,2004,102.02151479
Africa,2005,102.67521075
Africa,2006,103.31568966
Africa,2007,103.92018633
Africa,2008,104.46593552
Africa,2009,104.93017203
Africa,2010,105.2902193
Africa,2011,105.52461224000001
Africa,2012,105.68783188
Africa,2013,105.86747204
Africa,2014,106.07385833000001
Africa,2015,106.30443856
Africa,2016,106.55666059
Africa,2017,106.82797227
Africa,2018,107.11582142
Africa,2019,107.4176559
Africa,2020,107.73092355
Africa,2021,108.0530722
Africa,2022,108.38749092
Africa,2023,108.67947865
Africa,2024,108.98166074
Asia Pacific,2000,552.87031668
Asia Pacific,2001,559.11347402
Asia Pacific,2002,566.64560026
Asia Pacific,2003,574.6992471
Asia Pacific,2004,582.52867867
Asia Pacific,2005,589.7931716
Asia Pacific,2006,596.58067718
Asia Pacific,2007,603.33618071
Asia Pacific,2008,609.32401842
Asia Pacific,2009,615.08879224
Asia Pacific,2010,619.7778221799999
Asia Pacific,2011,625.49158978
Asia Pacific,2012,629.47159883
Asia Pacific,2013,633.34491885
Asia Pacific,2014,636.93767784
Asia Pacific,2015,640.84364139
Asia Pacific,2016,644.82223034
Asia Pacific,2017,649.02484504
Asia Pacific,2018,657.23181343
Asia Pacific,2019,661.76383674
Asia Pacific,2020,665.83055653
Asia Pacific,2021,670.81254162
Asia Pacific,2022,675.06024035
Asia Pacific,2023,678.84717057
Asia Pacific,2024,682.19823025
Europe,2000,2242.27318357
Europe,2001,2249.61180686
Europe,2002,2255.3152625000002
Europe,2003,2260.28198695
Europe,2004,2265.5108237599998
Europe,2005,2271.83431859
Europe,2006,2278.24699146
Europe,2007,2283.60066107
Europe,2008,2290.0751686099998
Europe,2009,2296.02107863
Europe,2010,2302.52829301
Europe,2011,2308.27286532
Europe,2012,2314.58298134
Europe,2013,2324.91345376
Europe,2014,2336.23256669
Europe,2015,2347.61678448
Europe,2016,2353.5369362
Europe,2017,2359.90419098
Europe,2018,2366.0076342
Europe,2019,2372.73703885
Europe,2020,2377.33529923
Europe,2021,2382.9722279
Europe,2022,2386.85721739
Europe,2023,2391.17593634
Europe,2024,2395.99612491
Central and South America,2000,375.73543411
Central and South America,2001,378.31403262
Central and South America,2002,380.76104366
Central and South America,2003,383.06549001
Central and South America,2004,385.21045597
Central and South America,2005,387.14036897
Central and South America,2006,388.91019236
Central and South America,2007,390.67054144
Central and South America,2008,392.44148440000004
Central and South America,2009,394.23298229
Central and South America,2010,396.05574621
Central and South America,2011,397.88193484
Central and South America,2012,398.97011497
Central and South America,2013,400.12078956
Central and South America,2014,401.31318491
Central and South America,2015,402.53273479
Central and South America,2016,403.76577809
Central and South America,2017,404.9974564
Central and South America,2018,406.26615626
Central and South America,2019,407.66629131999997
Central and South America,2020,409.04393537
Central and South America,2021,410.35538113
Central and South America,2022,411.67580681
Central and South America,2023,413.06283725000003
Central and South America,2024,414.47667483
Middle East and Caspian,2000,217.23889057
Middle East and Caspian,2001,218.145447
Middle East and Caspian,2002,218.99924787999998
Middle East and Caspian,2003,219.78131996
Middle East and Caspian,2004,220.47108687
Middle East and Caspian,2005,221.12867949
Middle East and Caspian,2006,221.90207033000002
Middle East and Caspian,2007,222.75816794
Middle East and Caspian,2008,223.65274081
Middle East and Caspian,2009,224.45422610999998
Middle East and Caspian,2010,225.32391582
Middle East and Caspian,2011,226.62045687
Middle East and Caspian,2012,228.02288126000002
Middle East and Caspian,2013,229.31319116
Middle East and Caspian,2014,230.63924486000002
Middle East and Caspian,2015,232.25216417000001
Middle East and Caspian,2016,232.90940924
Middle East and Caspian,2017,233.22530436
Middle East and Caspian,2018,233.42800245
Middle East and Caspian,2019,233.72337719
Middle East and Caspian,2020,234.16755787
Middle East and Caspian,2021,234.58031517
Middle East and Caspian,2022,234.88756255
Middle East and Caspian,2023,235.18767795999997
Middle East and Caspian,2024,235.48499689
North America,2000,157.70338934
North America,2001,158.15009886
North America,2002,158.64512746
North America,2003,159.1687157
North America,2004,159.68840003
North America,2005,160.17221976000002
North America,2006,160.59037274000002
North America,2007,160.9578788
North America,2008,161.28486278
North America,2009,161.54422173
North America,2010,161.71186369999998
North America,2011,161.79889796999998
North America,2012,161.83509766
North America,2013,161.84432924
North America,2014,161.83540634000002
North America,2015,161.81736597999998
North America,2016,161.79996563999998
North America,2017,161.80376242
North America,2018,161.83049096
North America,2019,161.86684653999998
North America,2020,161.94844063
North America,2021,162.18540442
North America,2022,162.38258756
North America,2023,162.59661756
North America,2024,162.82503638
EU27,2000,1788.91786658
EU27,2001,1794.70835847
EU27,2002,1798.78674224
EU27,2003,1802.02314843
EU27,2004,1805.94074708
EU27,2005,1811.19852954
EU27,2006,1816.37504134
EU27,2007,1819.93067425
EU27,2008,1823.95746637
EU27,2009,1827.7075086
EU27,2010,1832.20386251
EU27,2011,1835.9072702400001
EU27,2012,1838.78314221
EU27,2013,1843.15673602
EU27,2014,1847.84520338
EU27,2015,1853.7295375
EU27,2016,1856.9065947
EU27,2017,1861.52694998
EU27,2018,1865.46110277
EU27,2019,1869.53303053
EU27,2020,1871.63038181
EU27,2021,1874.78293979
EU27,2022,1877.83351334
EU27,2023,1881.60429006
EU27,2024,1885.32412978
