region_country,category,parameter,mode,powertrain,year,unit,value,agg_group,is_projection
World,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,170000000,World,TRUE
World,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,150000000,World,TRUE
China,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,91000000,Country,TRUE
China,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,82000000,Country,TRUE
World,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,82000000,World,TRUE
World,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,79000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,77000000,Continent,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,69000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,68000000,Continent,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,67000000,Country,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,60000000,Country,FALSE
China,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,56000000,Country,TRUE
World,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,53000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,52000000,Continent,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,48000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,47000000,Continent,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,46000000,Country,FALSE
India,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,43000000,Country,TRUE
China,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,42000000,Country,FALSE
World,Historical,EV stock,Cars,BEV,2024,Vehicles,39000000,World,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,38000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,37000000,Continent,FALSE
Europe,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,35000000,Continent,TRUE
China,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,33000000,Country,FALSE
Rest of the world,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,31000000,Country,TRUE
World,Projection-STEPS,EV sales,2 and 3 wheelers,BEV,2030,Vehicles,31000000,World,TRUE
World,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,30000000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,29000000,Continent,FALSE
World,Historical,EV stock,Cars,BEV,2023,Vehicles,28000000,World,FALSE
World,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,28000000,World,TRUE
China,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,26000000,Country,FALSE
Asia Pacific,Historical,EV stock,Cars,BEV,2024,Vehicles,24000000,Continent,FALSE
China,Historical,EV stock,Cars,BEV,2024,Vehicles,23000000,Country,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,22000000,Continent,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,22000000,World,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,19000000,Country,FALSE
World,Historical,EV stock,Cars,PHEV,2024,Vehicles,19000000,World,FALSE
World,Historical,EV stock,Cars,BEV,2022,Vehicles,18000000,World,FALSE
Rest of the world,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,18000000,Country,TRUE
Asia Pacific,Historical,EV stock,Cars,BEV,2023,Vehicles,17000000,Continent,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,17000000,World,FALSE
USA,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,17000000,Country,TRUE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,16000000,Continent,FALSE
China,Historical,EV stock,Cars,BEV,2023,Vehicles,16000000,Country,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,15000000,Country,FALSE
Europe,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,15000000,Continent,TRUE
World,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,13000000,World,FALSE
China,Projection-STEPS,EV sales,2 and 3 wheelers,BEV,2030,Vehicles,13000000,Country,TRUE
China,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,13000000,Country,TRUE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,12000000,Continent,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,12000000,Country,FALSE
World,Historical,EV stock,Cars,PHEV,2023,Vehicles,12000000,World,FALSE
World,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,12000000,World,TRUE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,11000000,Continent,FALSE
Asia Pacific,Historical,EV stock,Cars,BEV,2022,Vehicles,11000000,Continent,FALSE
Asia Pacific,Historical,EV stock,Cars,PHEV,2024,Vehicles,11000000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,11000000,Country,FALSE
China,Historical,EV stock,Cars,BEV,2022,Vehicles,11000000,Country,FALSE
China,Historical,EV stock,Cars,PHEV,2024,Vehicles,11000000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2021,Vehicles,11000000,World,FALSE
World,Historical,EV sales,Cars,BEV,2024,Vehicles,11000000,World,FALSE
World,Historical,EV stock,Cars,BEV,2021,Vehicles,11000000,World,FALSE
World,Projection-STEPS,EV stock,Vans,BEV,2030,Vehicles,11000000,World,TRUE
World,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,10000000,World,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,10000000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,9800000,Continent,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,9800000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,9700000,Continent,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,9600000,Continent,FALSE
World,Historical,EV sales,Cars,BEV,2023,Vehicles,9500000,World,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,9400000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,9300000,Continent,FALSE
World,Projection-STEPS,EV charging points,EV,Slow Charger,2030,charging points,9100000,World,TRUE
India,Projection-STEPS,EV sales,2 and 3 wheelers,BEV,2030,Vehicles,9000000,Country,TRUE
China,Historical,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,8800000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,8800000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,8700000,Continent,FALSE
Europe,Historical,EV stock,Cars,BEV,2024,Vehicles,8700000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2020,Vehicles,8200000,Country,FALSE
China,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,8200000,Country,TRUE
China,Historical,EV sales,2 and 3 wheelers,BEV,2022,Vehicles,8000000,Country,FALSE
World,Historical,EV stock,Cars,PHEV,2022,Vehicles,8000000,World,FALSE
Europe,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,8000000,Continent,TRUE
World,Projection-STEPS,EV charging points,EV,Fast Charger,2030,charging points,8000000,World,TRUE
China,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,7800000,Country,FALSE
Rest of the world,Projection-STEPS,EV sales,2 and 3 wheelers,BEV,2030,Vehicles,7800000,Country,TRUE
World,Historical,EV sales,Cars,BEV,2022,Vehicles,7300000,World,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,7200000,Country,FALSE
Asia Pacific,Historical,EV sales,Cars,BEV,2024,Vehicles,7000000,Continent,FALSE
World,Historical,EV stock,Cars,BEV,2020,Vehicles,6800000,World,FALSE
Asia Pacific,Historical,EV stock,Cars,BEV,2021,Vehicles,6700000,Continent,FALSE
Europe,Historical,EV stock,Cars,BEV,2023,Vehicles,6700000,Continent,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,6700000,World,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,6700000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,6600000,Continent,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,6600000,Country,FALSE
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,6600000,Country,TRUE
China,Projection-STEPS,EV charging points,EV,Fast Charger,2030,charging points,6600000,Country,TRUE
World,Historical,EV sales,Cars,PHEV,2024,Vehicles,6500000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,6400000,Continent,FALSE
China,Historical,EV sales,Cars,BEV,2024,Vehicles,6400000,Country,FALSE
Asia Pacific,Historical,EV stock,Cars,PHEV,2023,Vehicles,6200000,Continent,FALSE
China,Historical,EV stock,Cars,BEV,2021,Vehicles,6200000,Country,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,6100000,Country,FALSE
Asia Pacific,Historical,EV sales,Cars,BEV,2023,Vehicles,6000000,Continent,FALSE
EU27,Historical,EV stock,Cars,BEV,2024,Vehicles,6000000,EU27,FALSE
China,Projection-STEPS,EV charging points,EV,Slow Charger,2030,charging points,6000000,Country,TRUE
China,Historical,EV sales,2 and 3 wheelers,BEV,2019,Vehicles,5800000,Country,FALSE
China,Historical,EV stock,Cars,PHEV,2023,Vehicles,5800000,Country,FALSE
China,Historical,EV sales,Cars,BEV,2023,Vehicles,5400000,Country,FALSE
Europe,Historical,EV stock,Cars,PHEV,2024,Vehicles,5400000,Continent,FALSE
World,Historical,EV stock,Cars,PHEV,2021,Vehicles,5300000,World,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,5200000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,5000000,Continent,FALSE
Asia Pacific,Historical,EV sales,Cars,PHEV,2024,Vehicles,5000000,Continent,FALSE
Europe,Projection-STEPS,EV stock,2 and 3 wheelers,BEV,2030,Vehicles,5000000,Continent,TRUE
China,Historical,EV sales,Cars,PHEV,2024,Vehicles,4900000,Country,FALSE
Asia Pacific,Historical,EV sales,Cars,BEV,2022,Vehicles,4800000,Continent,FALSE
North America,Historical,EV stock,Cars,BEV,2024,Vehicles,4800000,Continent,FALSE
World,Historical,EV stock,Cars,BEV,2019,Vehicles,4800000,World,FALSE
EU27,Historical,EV stock,Cars,BEV,2023,Vehicles,4700000,EU27,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,4700000,Country,FALSE
USA,Historical,EV stock,Cars,BEV,2024,Vehicles,4700000,Country,FALSE
World,Historical,EV sales,Cars,BEV,2021,Vehicles,4700000,World,FALSE
China,Projection-STEPS,EV stock,Vans,BEV,2030,Vehicles,4700000,Country,TRUE
China,Historical,EV sales,2 and 3 wheelers,BEV,2018,Vehicles,4500000,Country,FALSE
Europe,Historical,EV stock,Cars,PHEV,2023,Vehicles,4500000,Continent,FALSE
USA,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,4500000,Country,TRUE
China,Historical,EV sales,Cars,BEV,2022,Vehicles,4400000,Country,FALSE
Europe,Historical,EV stock,Cars,BEV,2022,Vehicles,4400000,Continent,FALSE
Rest of the world,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,4300000,Country,TRUE
EU27,Historical,EV stock,Cars,PHEV,2024,Vehicles,4200000,EU27,FALSE
World,Historical,EV sales,Cars,PHEV,2023,Vehicles,4200000,World,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,4100000,Continent,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,4100000,World,FALSE
Europe,Projection-STEPS,EV stock,Vans,BEV,2030,Vehicles,3900000,Continent,TRUE
Asia Pacific,Historical,EV stock,Cars,BEV,2020,Vehicles,3800000,Continent,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,3700000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,3600000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,3500000,Continent,FALSE
Asia Pacific,Historical,EV stock,Cars,PHEV,2022,Vehicles,3500000,Continent,FALSE
China,Historical,EV stock,Cars,BEV,2020,Vehicles,3500000,Country,FALSE
EU27,Historical,EV stock,Cars,PHEV,2023,Vehicles,3500000,EU27,FALSE
North America,Historical,EV stock,Cars,BEV,2023,Vehicles,3500000,Continent,FALSE
USA,Historical,EV stock,Cars,BEV,2023,Vehicles,3500000,Country,FALSE
Europe,Historical,EV stock,Cars,PHEV,2022,Vehicles,3400000,Continent,FALSE
World,Historical,EV stock,Cars,PHEV,2020,Vehicles,3400000,World,FALSE
World,Historical,EV charging points,EV,Slow Charger,2024,charging points,3400000,World,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2017,Vehicles,3200000,Country,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,3200000,Country,FALSE
World,Historical,EV stock,Cars,BEV,2018,Vehicles,3200000,World,FALSE
World,Projection-STEPS,EV stock,Trucks,BEV,2030,Vehicles,3200000,World,TRUE
China,Historical,EV stock,Cars,PHEV,2022,Vehicles,3100000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,3100000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,3000000,Continent,FALSE
EU27,Historical,EV stock,Cars,BEV,2022,Vehicles,3000000,EU27,FALSE
Asia Pacific,Historical,EV sales,Cars,BEV,2021,Vehicles,2900000,Continent,FALSE
Europe,Historical,EV stock,Cars,BEV,2021,Vehicles,2900000,Continent,FALSE
World,Historical,EV sales,Cars,PHEV,2022,Vehicles,2900000,World,FALSE
Asia Pacific,Historical,EV stock,Cars,BEV,2019,Vehicles,2800000,Continent,FALSE
Asia Pacific,Historical,EV sales,Cars,PHEV,2023,Vehicles,2800000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2016,Vehicles,2800000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,2800000,World,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,2800000,World,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,2700000,Continent,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,2700000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2015,Vehicles,2700000,Country,FALSE
China,Historical,EV sales,Cars,BEV,2021,Vehicles,2700000,Country,FALSE
China,Historical,EV sales,Cars,PHEV,2023,Vehicles,2700000,Country,FALSE
EU27,Historical,EV stock,Cars,PHEV,2022,Vehicles,2700000,EU27,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,2700000,Country,FALSE
USA,Projection-STEPS,EV sales,Cars,BEV,2030,Vehicles,2700000,Country,TRUE
China,Historical,EV stock,Cars,BEV,2019,Vehicles,2600000,Country,FALSE
World,Historical,EV charging points,EV,Slow Charger,2023,charging points,2600000,World,FALSE
Europe,Historical,EV stock,Cars,PHEV,2021,Vehicles,2500000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2014,Vehicles,2400000,Country,FALSE
World,Historical,EV stock,Cars,PHEV,2019,Vehicles,2400000,World,FALSE
China,Projection-STEPS,EV stock,Trucks,BEV,2030,Vehicles,2400000,Country,TRUE
World,Projection-STEPS,EV sales,Vans,BEV,2030,Vehicles,2400000,World,TRUE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,2300000,Continent,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,2300000,World,FALSE
India,Projection-STEPS,EV stock,Cars,BEV,2030,Vehicles,2300000,Country,TRUE
Europe,Historical,EV sales,Cars,BEV,2023,Vehicles,2200000,Continent,FALSE
Europe,Historical,EV sales,Cars,BEV,2024,Vehicles,2200000,Continent,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,2200000,Country,FALSE
World,Projection-STEPS,EV stock,Buses,BEV,2030,Vehicles,2200000,World,TRUE
North America,Historical,EV stock,Cars,BEV,2022,Vehicles,2100000,Continent,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,2100000,Country,FALSE
USA,Historical,EV stock,Cars,BEV,2022,Vehicles,2100000,Country,FALSE
Asia Pacific,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,2000000,Continent,FALSE
Asia Pacific,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,2000000,Continent,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2013,Vehicles,2000000,Country,FALSE
EU27,Historical,EV stock,Cars,BEV,2021,Vehicles,2000000,EU27,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,2000000,Country,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,2000000,Country,FALSE
World,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,2000000,World,FALSE
World,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,2000000,World,FALSE
World,Historical,EV sales,Cars,BEV,2020,Vehicles,2000000,World,FALSE
World,Historical,EV charging points,EV,Fast Charger,2024,charging points,2000000,World,FALSE
Asia Pacific,Historical,EV stock,Cars,BEV,2018,Vehicles,1900000,Continent,FALSE
Asia Pacific,Historical,EV stock,Cars,PHEV,2021,Vehicles,1900000,Continent,FALSE
EU27,Historical,EV stock,Cars,PHEV,2021,Vehicles,1900000,EU27,FALSE
Germany,Historical,EV stock,Cars,BEV,2024,Vehicles,1900000,Country,FALSE
India,Historical,EV sales,2 and 3 wheelers,BEV,2024,Vehicles,1900000,Country,FALSE
World,Historical,EV stock,Vans,BEV,2024,Vehicles,1900000,World,FALSE
World,Historical,EV stock,Cars,BEV,2017,Vehicles,1900000,World,FALSE
World,Historical,EV sales,Cars,PHEV,2021,Vehicles,1900000,World,FALSE
World,Historical,EV stock,Cars,PHEV,2018,Vehicles,1900000,World,FALSE
China,Historical,EV charging points,EV,Slow Charger,2024,charging points,1900000,Country,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,1800000,Country,FALSE
World,Historical,EV charging points,EV,Slow Charger,2022,charging points,1800000,World,FALSE
China,Historical,EV sales,2 and 3 wheelers,BEV,2012,Vehicles,1700000,Country,FALSE
China,Historical,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,1700000,Country,FALSE
China,Historical,EV stock,Cars,BEV,2018,Vehicles,1700000,Country,FALSE
Europe,Historical,EV stock,Cars,BEV,2020,Vehicles,1700000,Continent,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,1700000,Country,FALSE
Asia Pacific,Historical,EV sales,Cars,PHEV,2022,Vehicles,1600000,Continent,FALSE
China,Historical,EV stock,Cars,PHEV,2021,Vehicles,1600000,Country,FALSE
EU27,Historical,EV sales,Cars,BEV,2023,Vehicles,1600000,EU27,FALSE
Europe,Historical,EV sales,Cars,BEV,2022,Vehicles,1600000,Continent,FALSE
North America,Historical,EV stock,Cars,PHEV,2024,Vehicles,1600000,Continent,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,1600000,Country,FALSE
USA,Historical,EV stock,Cars,PHEV,2024,Vehicles,1600000,Country,FALSE
Viet Nam,Historical,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,1600000,Country,FALSE
Rest of the world,Projection-STEPS,EV stock,Vans,BEV,2030,Vehicles,1600000,Country,TRUE
China,Historical,EV charging points,EV,Fast Charger,2024,charging points,1600000,Country,FALSE
Europe,Projection-STEPS,EV charging points,EV,Slow Charger,2030,charging points,1600000,Continent,TRUE
China,Historical,EV sales,Cars,PHEV,2022,Vehicles,1500000,Country,FALSE
EU27,Historical,EV sales,Cars,BEV,2024,Vehicles,1500000,EU27,FALSE
Germany,Historical,EV stock,Cars,BEV,2023,Vehicles,1500000,Country,FALSE
India,Historical,EV sales,2 and 3 wheelers,BEV,2023,Vehicles,1500000,Country,FALSE
India,Historical,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,1500000,Country,FALSE
North America,Historical,EV stock,Cars,BEV,2021,Vehicles,1500000,Continent,FALSE
USA,Historical,EV stock,Cars,BEV,2021,Vehicles,1500000,Country,FALSE
World,Historical,EV sales,Cars,BEV,2019,Vehicles,1500000,World,FALSE
China,Projection-STEPS,EV stock,Buses,BEV,2030,Vehicles,1500000,Country,TRUE
Europe,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,1500000,Continent,TRUE
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,1500000,Country,TRUE
China,Historical,EV charging points,EV,Slow Charger,2023,charging points,1500000,Country,FALSE
Europe,Historical,EV stock,Cars,PHEV,2020,Vehicles,1400000,Continent,FALSE
Rest of the world,Historical,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,1400000,Country,FALSE
United Kingdom,Historical,EV stock,Cars,BEV,2024,Vehicles,1400000,Country,FALSE
World,Historical,EV sales,Cars,BEV,2018,Vehicles,1400000,World,FALSE
