region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct
Africa,2010,AFR,16.4238214,52439040.0,259.969996295,105.2902193
Africa,2011,AFR,15.906271,53092253.0,262.880011006,105.52461224000001
Africa,2012,AFR,15.6372075,53882135.0,258.279995096,105.68783188
Africa,2013,AFR,15.174379,54780897.0,256.389996898,105.86747204
Africa,2014,AFR,15.808057999999999,55699503.0,255.220004288,106.07385833000001
Africa,2015,AFR,15.4104943,56830783.0,250.510003108,106.30443856
Africa,2016,AFR,15.702925,57369386.0,253.3099976,106.55666059
Africa,2017,AFR,15.465017,57747601.0,255.64999939,106.82797227
Africa,2018,AFR,15.564774,58728054.0,256.819987781,107.11582142
Africa,2019,AFR,15.532489000000002,59705542.0,253.640007293,107.4176559
Africa,2020,AFR,14.7406977,60682673.0,241.330005474,107.73092355
Africa,2021,AFR,14.687234,61625602.0,246.060006724,108.0530722
Africa,2022,AFR,14.404498,62503950.0,239.78999820500002,108.38749092
Africa,2023,AFR,14.4224123,63340347.0,233.569996905,108.67947865
Africa,2024,AFR,14.335834,64137623.0,248.150004295,108.98166074
Asia Pacific,2010,APAC,124.42853869999999,3229482711.0,7641.79021799,619.7778221799999
Asia Pacific,2011,APAC,126.4730037,3261669752.0,8241.59989931,625.49158978
Asia Pacific,2012,APAC,123.2592491,3294295366.0,8635.620132600001,629.47159883
Asia Pacific,2013,APAC,120.54855549999999,3326767433.0,9149.28983686,633.34491885
Asia Pacific,2014,APAC,120.3700333,3357842857.0,9646.82020597,636.93767784
Asia Pacific,2015,APAC,115.8493365,3387376560.0,9733.77011889,640.84364139
Asia Pacific,2016,APAC,110.7389463,3416776512.0,10227.340141229999,644.82223034
Asia Pacific,2017,APAC,111.356064,3446146332.0,10820.64989805,649.02484504
Asia Pacific,2018,APAC,110.3620801,3472719097.0,11569.300190040001,657.23181343
Asia Pacific,2019,APAC,109.1654509,3496116066.0,11945.600158000001,661.76383674
Asia Pacific,2020,APAC,104.6614915,3516125578.0,12125.44988227,665.83055653
Asia Pacific,2021,APAC,103.9481965,3530935918.0,13080.94979554,670.81254162
Asia Pacific,2022,APAC,102.3539005,3543657587.0,13595.299926200001,675.06024035
Asia Pacific,2023,APAC,101.7071835,3556769169.0,14320.40016119,678.84717057
Asia Pacific,2024,APAC,101.5456232,3569356143.0,15163.57992732,682.19823025
Central and South America,2010,CSAM,33.621699,373840582.0,921.359994869,396.05574621
Central and South America,2011,CSAM,35.5370289,377749497.0,961.0100059900001,397.88193484
Central and South America,2012,CSAM,40.350990100000004,381593174.0,991.63001532,398.97011497
Central and South America,2013,CSAM,37.2365637,385376604.0,1024.49001026,400.12078956
Central and South America,2014,CSAM,35.5286728,389066135.0,1044.67997173,401.31318491
Central and South America,2015,CSAM,34.9309243,392583457.0,1055.22996144,402.53273479
Central and South America,2016,CSAM,33.3306726,396041193.0,1065.10002036,403.76577809
Central and South America,2017,CSAM,34.135331199999996,399706613.0,1087.0900048600001,404.9974564
Central and South America,2018,CSAM,33.1622094,403556439.0,1122.0900239,406.26615626
Central and South America,2019,CSAM,33.0902694,407323721.0,1152.08002662,407.66629131999997
Central and South America,2020,CSAM,31.4275674,410494839.0,1127.5400229000002,409.04393537
Central and South America,2021,CSAM,31.963694,412902930.0,1170.18001932,410.35538113
Central and South America,2022,CSAM,31.9049576,415292268.0,1203.64996811,411.67580681
Central and South America,2023,CSAM,31.109523799999998,417966003.0,1247.35001276,413.06283725000003
Central and South America,2024,CSAM,30.9837618,420640609.0,1289.65996554,414.47667483
EU27,2010,EU27,276.2375061,440186311.0,2943.429999698,1832.20386251
EU27,2011,EU27,269.352255,441015990.0,2906.510020904,1835.9072702400001
EU27,2012,EU27,263.9969989,441572632.0,2901.160026726,1838.78314221
EU27,2013,EU27,256.3453405,441970956.0,2881.429981661,1843.15673602
EU27,2014,EU27,248.8455403,442530264.0,2821.659993393,1847.84520338
EU27,2015,EU27,250.511177,443465942.0,2869.070023886,1853.7295375
EU27,2016,EU27,249.028811,444456226.0,2890.540066337,1856.9065947
EU27,2017,EU27,250.9307826,445228886.0,2921.330004089,1861.52694998
EU27,2018,EU27,248.8066718,446019111.0,2906.650000578,1865.46110277
EU27,2019,EU27,234.51632859999998,446865184.0,2872.430033332,1869.53303053
EU27,2020,EU27,212.60102849999998,447259311.0,2750.939979367,1871.63038181
EU27,2021,EU27,220.5640438,447181537.0,2872.770002898,1874.78293979
EU27,2022,EU27,212.4911063,448585269.0,2775.190038269,1877.83351334
EU27,2023,EU27,196.9408301,450124608.0,2707.849984417,1881.60429006
EU27,2024,EU27,193.1373788,449719948.0,2771.020017781,1885.32412978
Europe,2010,EUR,345.7729908,733507100.0,4780.620012218,2302.52829301
Europe,2011,EUR,333.1967013,735970716.0,4764.390008254,2308.27286532
Europe,2012,EUR,329.6476242,738359572.0,4805.390038196,2314.58298134
Europe,2013,EUR,320.3088449,740862695.0,4758.759931971,2324.91345376
Europe,2014,EUR,310.7047619,744013123.0,4704.649933863,2336.23256669
Europe,2015,EUR,314.373776,747974562.0,4764.880055916,2347.61678448
Europe,2016,EUR,312.0798161,751726788.0,4822.390021287,2353.5369362
Europe,2017,EUR,313.9718036,754927798.0,4875.500063309,2359.90419098
Europe,2018,EUR,310.7373331,757798648.0,4881.669949128001,2366.0076342
Europe,2019,EUR,294.7767306,760152842.0,4841.720064532,2372.73703885
Europe,2020,EUR,269.9680762,761460640.0,4690.370017857,2377.33529923
Europe,2021,EUR,280.0587688,761860499.0,4905.229952138,2382.9722279
Europe,2022,EUR,271.5392306,764032286.0,4814.279963729,2386.85721739
Europe,2023,EUR,255.7817029,766295867.0,4741.929995777,2391.17593634
Europe,2024,EUR,252.8270181,766044393.0,4860.250094071,2395.99612491
