parameter,EV sales,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
category,Historical,,,,,,,,,,,,,,
powertrain,BEV,,,,,,,,,,,,,,
mode,Cars,,,,,,,,,,,,,,
Aggregate group,(Multiple Items),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sum of value,year,,,,,,,,,,,,,,
region_country,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Australia,,49.0,170.0,190.0,370.0,760.0,670.0,1200.0,1800.0,6300.0,5200.0,17000.0,33000.0,87000.0,91000.0
Austria,,,,650.0,1700.0,1700.0,3800.0,5400.0,6800.0,9300.0,16000.0,33000.0,34000.0,48000.0,45000.0
Belgium,48,280.0,570.0,500.0,1300.0,1400.0,2100.0,2700.0,3600.0,8800.0,15000.0,23000.0,38000.0,93000.0,130000.0
Brazil,10,8.0,22.0,39.0,61.0,61.0,130.0,140.0,180.0,540.0,800.0,2900.0,8500.0,19000.0,62000.0
Bulgaria,,,,,,21.0,5.0,68.0,190.0,180.0,140.0,430.0,1000.0,1800.0,1700.0
Canada,,220.0,620.0,1600.0,2800.0,4400.0,5200.0,8700.0,23000.0,32000.0,37000.0,59000.0,91000.0,130000.0,190000.0
Central and South America,10,15.0,53.0,66.0,93.0,110.0,210.0,390.0,810.0,2000.0,2400.0,7200.0,18000.0,36000.0,98000.0
Chile,,6.0,5.0,5.0,5.0,13.0,22.0,120.0,130.0,220.0,160.0,560.0,1300.0,1600.0,4500.0
China,1100,4800.0,9600.0,15000.0,49000.0,150000.0,260000.0,470000.0,820000.0,830000.0,920000.0,2700000.0,4400000.0,5400000.0,6400000.0
Colombia,,1.0,26.0,22.0,27.0,39.0,28.0,92.0,250.0,760.0,670.0,840.0,1900.0,3600.0,11000.0
Costa Rica,,,,,,,22.0,14.0,230.0,350.0,590.0,1000.0,2600.0,5800.0,11000.0
Croatia,,,,,,,,,,190.0,530.0,1400.0,1400.0,1600.0,1800.0
Cyprus,,,,,,,,,,23.0,42.0,84.0,400.0,790.0,1200.0
Czech Republic,,,,,,300.0,200.0,390.0,700.0,760.0,3300.0,2700.0,3900.0,6700.0,11000.0
Denmark,,420.0,490.0,500.0,1600.0,4300.0,1300.0,710.0,1500.0,5500.0,14000.0,25000.0,31000.0,63000.0,89000.0
Estonia,,,,,,34.0,35.0,26.0,85.0,80.0,340.0,480.0,730.0,1400.0,1300.0
Finland,,30.0,51.0,50.0,180.0,240.0,220.0,500.0,780.0,1900.0,4200.0,10000.0,15000.0,30000.0,22000.0
France,190,2600.0,5700.0,8900.0,11000.0,18000.0,23000.0,26000.0,33000.0,45000.0,110000.0,170000.0,210000.0,310000.0,300000.0
