parameter,EV sales,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
category,Historical,,,,,,,,,,,,,,,
powertrain,BEV,,,,,,,,,,,,,,,
Aggregate group,(Multiple Items),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sum of value,,year,,,,,,,,,,,,,,
mode,region_country,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Cars,Africa,,,,34.0,14.0,120.0,100.0,72.0,100.0,290.0,220.0,900.0,2100.0,3100.0,8400.0
,Middle East and Caspian,,41.0,49.0,,,110.0,350.0,350.0,300.0,720.0,1300.0,3400.0,3600.0,10000.0,37000.0
,North America,1200,9800.0,15000.0,48000.0,63000.0,71000.0,87000.0,100000.0,240000.0,240000.0,230000.0,470000.0,800000.0,1100000.0,1300000.0
,Europe,1700,11000.0,19000.0,33000.0,62000.0,89000.0,93000.0,140000.0,200000.0,360000.0,750000.0,1200000.0,1600000.0,2200000.0,2200000.0
,Asia Pacific,4100,19000.0,24000.0,31000.0,68000.0,160000.0,280000.0,510000.0,910000.0,900000.0,990000.0,2900000.0,4800000.0,6000000.0,7000000.0
,World,7000,40000.0,58000.0,110000.0,200000.0,330000.0,470000.0,760000.0,1400000.0,1500000.0,2000000.0,4700000.0,7300000.0,9500000.0,11000000.0
