region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct
Africa,2000,AFR,15.413796,47243054,210.8600037,99.65641856
Africa,2001,AFR,15.3062895,47651426,210.2899963,100.2187325
Africa,2002,AFR,14.7945776,48105292,220.8100018,100.7672052
Africa,2003,AFR,15.4771,48587407,234.4700055,101.377367
Africa,2004,AFR,16.69363,49079595,244.8400006,102.0215148
Africa,2005,AFR,15.79932,49579329,245.2299927,102.6752108
Africa,2006,AFR,16.360187,50088662,254.1299976,103.3156897
Africa,2007,AFR,16.8731507,50620058,263.8299902,103.9201863
Africa,2008,AFR,17.3069686,51207158,258.6300085,104.4659355
Africa,2009,AFR,16.9346943,51822162,249.9099976,104.930172
Africa,2010,AFR,16.4238214,52439040,259.9699963,105.2902193
Africa,2011,AFR,15.906271,53092253,262.880011,105.5246122
Africa,2012,AFR,15.6372075,53882135,258.2799951,105.6878319
Africa,2013,AFR,15.174379,54780897,256.3899969,105.867472
Africa,2014,AFR,15.808058,55699503,255.2200043,106.0738583
Africa,2015,AFR,15.4104943,56830783,250.5100031,106.3044386
Africa,2016,AFR,15.702925,57369386,253.3099976,106.5566606
Africa,2017,AFR,15.465017,57747601,255.6499994,106.8279723
Africa,2018,AFR,15.564774,58728054,256.8199878,107.1158214
Africa,2019,AFR,15.532489,59705542,253.6400073,107.4176559
Africa,2020,AFR,14.7406977,60682673,241.3300055,107.7309236
Africa,2021,AFR,14.687234,61625602,246.0600067,108.0530722
Africa,2022,AFR,14.404498,62503950,239.7899982,108.3874909
Africa,2023,AFR,14.4224123,63340347,233.5699969,108.6794787
Africa,2024,AFR,14.335834,64137623,248.1500043,108.9816607
Africa,2025,AFR,,64747319,242.7599945,
Asia Pacific,2000,APAC,117.4773876,2903495844,3862.870047,552.8703167
Asia Pacific,2001,APAC,119.6735945,2938429386,4036.98008,559.113474
Asia Pacific,2002,APAC,116.4834552,2972027040,4300.57999,566.6456003
Asia Pacific,2003,APAC,115.844223,3004507320,4612.959911,574.6992471
Asia Pacific,2004,APAC,116.2396443,3036709709,5053.509987,582.5286787
Asia Pacific,2005,APAC,108.4378471,3068711372,5434.689976,589.7931716
Asia Pacific,2006,APAC,114.1716749,3100814337,5895.189935,596.5806772
Asia Pacific,2007,APAC,113.4594489,3132729707,6433.53004,603.3361807
Asia Pacific,2008,APAC,120.5693998,3164420440,6725.369919,609.3240184
Asia Pacific,2009,APAC,116.2494073,3196799863,6958.109914,615.0887922
Asia Pacific,2010,APAC,124.4285387,3229482711,7641.790218,619.7778222
Asia Pacific,2011,APAC,126.4730037,3261669752,8241.599899,625.4915898
Asia Pacific,2012,APAC,123.2592491,3294295366,8635.620133,629.4715988
Asia Pacific,2013,APAC,120.5485555,3326767433,9149.289837,633.3449189
Asia Pacific,2014,APAC,120.3700333,3357842857,9646.820206,636.9376778
Asia Pacific,2015,APAC,115.8493365,3387376560,9733.770119,640.8436414
Asia Pacific,2016,APAC,110.7389463,3416776512,10227.34014,644.8222303
Asia Pacific,2017,APAC,111.356064,3446146332,10820.6499,649.024845
Asia Pacific,2018,APAC,110.3620801,3472719097,11569.30019,657.2318134
Asia Pacific,2019,APAC,109.1654509,3496116066,11945.60016,661.7638367
Asia Pacific,2020,APAC,104.6614915,3516125578,12125.44988,665.8305565
Asia Pacific,2021,APAC,103.9481965,3530935918,13080.9498,670.8125416
Asia Pacific,2022,APAC,102.3539005,3543657587,13595.29993,675.0602404
Asia Pacific,2023,APAC,101.7071835,3556769169,14320.40016,678.8471706
Asia Pacific,2024,APAC,101.5456232,3569356143,15163.57993,682.1982303
Asia Pacific,2025,APAC,,3296154286,15348.48039,
Australia,2000,AUS,40.317493,19132472,216.8300018,85.10716086
Australia,2001,AUS,38.010326,19365438,224.2599945,85.14810942
Australia,2002,AUS,35.732056,19595356,223.4900055,85.28421028
Australia,2003,AUS,37.06214,19819449,225.9499969,85.40970778
Australia,2004,AUS,38.004784,20046679,229.2299957,85.51876761
Australia,2005,AUS,31.413286,20294490,230.7400055,85.61908712
Australia,2006,AUS,32.190773,20590566,237.9900055,85.74925443
Australia,2007,AUS,33.283916,20954545,243.1900024,85.89685196
Australia,2008,AUS,37.308044,21370595,245.3800049,86.0253817
Australia,2009,AUS,32.56265,21783014,249.8999939,86.12781391
Australia,2010,AUS,41.015854,22141583,250.9700012,86.21986005
Australia,2011,AUS,38.641823,22479779,256.2799988,86.32689461
Australia,2012,AUS,34.84383,22852648,250.6600037,86.44512591
