parameter,Battery demand,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
category,Historical,,,,,,,,,,,,,,,
powertrain,EV,,,,,,,,,,,,,,,
Aggregate group,(All),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sum of value,,year,,,,,,,,,,,,,,
mode,region_country,2010,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Cars,China,0.036,0.14,0.28,0.43,1.7,5.0,10.0,17.0,36.0,45.0,50.0,140.0,270.0,380.0,490.0
,Europe,0.06,0.38,0.73,1.4,2.5,3.8,4.7,7.5,11.0,23.0,51.0,87.0,120.0,160.0,170.0
,India,0.0045,0.014,0.0019,0.0041,0.01,0.0045,0.0073,0.0099,0.017,0.023,0.11,0.37,1.6,2.8,3.2
,Rest of the world,0.067,0.36,0.57,0.69,0.87,0.96,1.3,2.6,6.5,7.3,8.0,16.0,30.0,51.0,69.0
,USA,0.053,0.52,1.1,2.7,3.4,3.6,6.0,7.6,19.0,19.0,18.0,38.0,69.0,96.0,110.0
,World,0.22,1.4,2.7,5.2,8.5,13.0,22.0,34.0,73.0,95.0,130.0,290.0,490.0,690.0,840.0
