region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct,ev_sales,ev_sales_log,population_log,electricity_generation_log,electricity_per_capita,ev_sales_share,expected_ev_sales_log,adoption_gap_log,expected_ev_sales,adoption_gap_sales
Luxembourg,2024,LUX,11.798287,673042,1.50999999,94.84387029,16800.0,9.729193687429403,13.419564499602139,0.9202827491596288,2.243544964504444e-06,36.0,7.00968766937126,2.7195060180581425,1106.3086044932193,15693.691395506781
United Kingdom,2024,GBR,5.6448607,69138185,284.1600037,83.24295444,550000.0,13.217675375388819,18.05161775549222,5.653050439224599,4.110029843855461e-06,28.0,11.696991016034872,1.5206843593539467,120208.46190957763,429791.5380904224
Portugal,2024,PRT,5.1978517,10425291,47.27000046,61.32819073,70000.0,11.156264806643742,16.159745334849205,3.87681025920213,4.534166044861481e-06,33.0,9.662895020334076,1.4933697863096658,15722.237935817855,54277.76206418214
China,2024,CHN,9.939262,1419321284,10086.87988,65.8946981,11300000.0,16.24031337217814,21.073444625986458,9.21908997035737,7.1068333813558175e-06,48.0,14.869286220823824,1.3710271513543155,2868460.0397231984,8431539.960276801
Belgium,2024,BEL,9.195861,11738761,76.01000214,87.6126557,197000.0,12.190964083849375,16.278406915355788,4.343935311339758,6.475129882957835e-06,43.0,10.909305469797914,1.2816586140514605,54681.85321997273,142318.14678002728
Denmark,2024,DNK,7.6854186,5977417,35.06000137,88.69605527,96100.0,11.473155000731508,15.603499260110945,3.585184255767406,5.865409987290497e-06,56.0,10.254841138649681,1.2183138620818266,28418.7935862495,67681.20641375051
Costa Rica,2024,CRI,2.9205217,5129909,11.0,79.31076724,11022.0,9.307739277963316,15.450598673133408,2.4849066497880004,2.144287549740161e-06,15.0,8.169509066674209,1.1382302112891072,3530.6097530452407,7491.390246954759
Ireland,2024,IRL,11.456779,5255016,31.07999992,64.34703793,30000.0,10.308985993422082,15.474693797302228,3.468232780504548,5.914349246510382e-06,25.0,9.208136433791765,1.1008495596303174,9976.98488704111,20023.015112958892
Uzbekistan,2024,UZB,5.7250333,36361859,81.5,50.99866867,22600.0,10.025749432069084,17.409030981080686,4.412798293340635,2.2413595520515056e-06,5.0,8.927598406417587,1.0981510256514966,7536.142470047644,15063.857529952356
Indonesia,2024,IDN,6.711167,283487933,371.5400085,58.75096354,49150.0,10.802652471248297,19.462680119379783,5.920344437421198,1.3106025521728292e-06,7.3,9.743746844315183,1.0589056269331145,17046.295429870024,32103.704570129976
Thailand,2024,THA,6.3726296,71668010,199.5200043,61.86893384,80400.0,11.294781892900653,18.08755505538743,5.300914013839548,2.7839478771630467e-06,13.0,10.249696471821835,1.0450854210788183,28272.958674606394,52127.041325393606
Viet Nam,2024,VNM,5.777901,100987685,303.5799866,38.49007034,69084.0,11.14309290949077,18.430509146580512,5.718933734428535,3.006108978535353e-06,17.0,10.15975821756274,0.9833346919280306,25841.04815094145,43242.95184905855
Germany,2024,DEU,7.8017473,84552234,495.9899902,82.02114326,570000.0,13.25339339419516,18.252880067022176,6.208569885451151,5.866077887427552e-06,19.0,12.453461946108291,0.799931448086868,256134.5168536585,313865.4831463415
Lithuania,2024,LTU,7.6165133,2859112,7.389999866,68.82858333,3500.0,8.160803920954665,14.866021994832582,2.12704050450772,2.584718565064957e-06,12.0,7.4676405229141665,0.6931633980404985,1749.4716115304857,1750.5283884695143
Netherlands,2024,NLD,8.075445,18228740,122.3300018,95.63965171,182000.0,12.111767460549332,16.71851008228422,4.814863704172886,6.710831456260828e-06,48.0,11.687332942238868,0.4244345183104645,119053.05852223319,62946.94147776681
India,2024,IND,2.9376976,1450935785,2036.52002,35.37889724,92095.0,11.43058679024704,21.095474554872627,7.619488670833617,1.403590731618767e-06,2.1,11.083781723562424,0.34680506668461497,65105.63372627846,26989.36627372154
Italy,2024,ITA,5.9985695,59342870,267.5599976,69.60475351,118000.0,11.678448377988165,17.898842553860817,5.593074343735229,4.5087134747611625e-06,7.9,11.369832238651156,0.3086161393370084,86666.32683705314,31333.673162946856
Romania,2024,ROU,4.747173,19015096,52.72000122,52.16747789,9800.0,9.19023970026918,16.76074380056735,3.9837853943653867,2.7725340550476317e-06,6.5,8.923539473261599,0.2667002270075809,7505.61171563625,2294.3882843637502
Austria,2024,AUT,7.482617,9120815,78.47000122,69.46581811,62000.0,11.034905792929415,16.026069831732194,4.375379607303793,8.603397966080882e-06,24.0,10.960170464303815,0.07473532862560006,57535.25007918654,4464.749920813461
Colombia,2024,COL,4.6946015,52886360,89.13999939,78.52108119,13100.0,9.48044384215367,17.783656037498712,4.5013640104952515,1.6855007489643832e-06,7.4,9.457418552896343,0.02302528925732794,12801.792022717698,298.2079772823017
Australia,2024,AUS,22.83231,26713206,281.6400146,87.602147,112000.0,11.626263078808801,17.10066864526912,5.6441740547067045,1.0543100464990985e-05,13.0,11.603974256785477,0.022288822023323718,109531.24467251604,2468.7553274839593
Hungary,2024,HUN,4.90974,9676135,38.0,70.49182594,14300.0,9.568084743872936,16.08517320600807,3.6635616461296463,3.92718786995014e-06,12.0,9.555481377732235,0.012603366140700345,14120.890324115118,179.10967588488165
Latvia,2024,LVA,7.404507,1871874,6.329999924,68.48394926,2100.0,7.650168700845001,14.442451160285952,1.9919755055302109,3.3816378260502576e-06,12.0,7.720356658591072,-0.07018795774607156,2252.7632612697676,-152.76326126976755
Poland,2024,POL,8.623619,38539209,172.1199951,59.97054687,32000.0,10.373522431293592,17.467186722556697,5.15398496735405,4.466100876642279e-06,5.7,10.485421930901225,-0.11189949960763279,35788.93297044466,-3788.9329704446573
Brazil,2024,BRA,13.228536,211998565,745.7199707,87.89585495,125000.0,11.736077016252437,19.172090068462467,6.615690242963236,3.5175708415762153e-06,6.4,11.885777541495031,-0.14970052524259359,145185.95583569503,-20185.95583569503
France,2024,FRA,5.077144,66548532,561.7800293,78.7999751,450000.0,13.017005083966255,18.013442058986172,6.332888840069065,8.441659228486062e-06,24.0,13.170727265427104,-0.15372218146084826,524775.2527154583,-74775.25271545828
