region_country,ev_sales,expected_ev_sales,adoption_gap_sales,adoption_gap_log,ev_sales_share,Urban_pct,population,electricity_generation,Greenhouse gas emissions per capita,gap_label
Luxembourg,16800.0,1106.3086044932193,15693.691395506781,2.7195060180581425,36.0,94.84387029,673042,1.50999999,11.798287,Overperforms expected adoption
United Kingdom,550000.0,120208.46190957763,429791.5380904224,1.5206843593539467,28.0,83.24295444,69138185,284.1600037,5.6448607,Overperforms expected adoption
Portugal,70000.0,15722.237935817855,54277.76206418214,1.4933697863096658,33.0,61.32819073,10425291,47.27000046,5.1978517,Overperforms expected adoption
China,11300000.0,2868460.0397231984,8431539.960276801,1.3710271513543155,48.0,65.8946981,1419321284,10086.87988,9.939262,Overperforms expected adoption
Belgium,197000.0,54681.85321997273,142318.14678002728,1.2816586140514605,43.0,87.6126557,11738761,76.01000214,9.195861,Overperforms expected adoption
Denmark,96100.0,28418.7935862495,67681.20641375051,1.2183138620818266,56.0,88.69605527,5977417,35.06000137,7.6854186,Overperforms expected adoption
Costa Rica,11022.0,3530.6097530452407,7491.390246954759,1.1382302112891072,15.0,79.31076724,5129909,11.0,2.9205217,Overperforms expected adoption
Ireland,30000.0,9976.98488704111,20023.015112958892,1.1008495596303174,25.0,64.34703793,5255016,31.07999992,11.456779,Overperforms expected adoption
Uzbekistan,22600.0,7536.142470047644,15063.857529952356,1.0981510256514966,5.0,50.99866867,36361859,81.5,5.7250333,Overperforms expected adoption
Indonesia,49150.0,17046.295429870024,32103.704570129976,1.0589056269331145,7.3,58.75096354,283487933,371.5400085,6.711167,Overperforms expected adoption
Thailand,80400.0,28272.958674606394,52127.041325393606,1.0450854210788183,13.0,61.86893384,71668010,199.5200043,6.3726296,Overperforms expected adoption
Viet Nam,69084.0,25841.04815094145,43242.95184905855,0.9833346919280306,17.0,38.49007034,100987685,303.5799866,5.777901,Overperforms expected adoption
Germany,570000.0,256134.5168536585,313865.4831463415,0.799931448086868,19.0,82.02114326,84552234,495.9899902,7.8017473,Overperforms expected adoption
Lithuania,3500.0,1749.4716115304857,1750.5283884695143,0.6931633980404985,12.0,68.82858333,2859112,7.389999866,7.6165133,Overperforms expected adoption
Netherlands,182000.0,119053.05852223319,62946.94147776681,0.4244345183104645,48.0,95.63965171,18228740,122.3300018,8.075445,Overperforms expected adoption
India,92095.0,65105.63372627846,26989.36627372154,0.34680506668461497,2.1,35.37889724,1450935785,2036.52002,2.9376976,Overperforms expected adoption
Italy,118000.0,86666.32683705314,31333.673162946856,0.3086161393370084,7.9,69.60475351,59342870,267.5599976,5.9985695,Overperforms expected adoption
Romania,9800.0,7505.61171563625,2294.3882843637502,0.2667002270075809,6.5,52.16747789,19015096,52.72000122,4.747173,Overperforms expected adoption
Austria,62000.0,57535.25007918654,4464.749920813461,0.07473532862560006,24.0,69.46581811,9120815,78.47000122,7.482617,Overperforms expected adoption
Colombia,13100.0,12801.792022717698,298.2079772823017,0.02302528925732794,7.4,78.52108119,52886360,89.13999939,4.6946015,Overperforms expected adoption
Australia,112000.0,109531.24467251604,2468.7553274839593,0.022288822023323718,13.0,87.602147,26713206,281.6400146,22.83231,Overperforms expected adoption
Hungary,14300.0,14120.890324115118,179.10967588488165,0.012603366140700345,12.0,70.49182594,9676135,38.0,4.90974,Overperforms expected adoption
Latvia,2100.0,2252.7632612697676,-152.76326126976755,-0.07018795774607156,12.0,68.48394926,1871874,6.329999924,7.404507,Underperforms expected adoption
Poland,32000.0,35788.93297044466,-3788.9329704446573,-0.11189949960763279,5.7,59.97054687,38539209,172.1199951,8.623619,Underperforms expected adoption
Brazil,125000.0,145185.95583569503,-20185.95583569503,-0.14970052524259359,6.4,87.89585495,211998565,745.7199707,13.228536,Underperforms expected adoption
France,450000.0,524775.2527154583,-74775.25271545828,-0.15372218146084826,24.0,78.7999751,66548532,561.7800293,5.077144,Underperforms expected adoption
Estonia,2600.0,3111.9181986101926,-511.9181986101926,-0.17966462729793964,10.0,70.69811615,1360548,6.260000229,8.905476,Underperforms expected adoption
Turkiye,105700.0,131310.6748108749,-25610.674810874887,-0.21695934085331636,11.0,89.34431229,87473800,341.230011,7.7738886,Underperforms expected adoption
Spain,128000.0,172054.94128118013,-44054.94128118013,-0.295781587552149,11.0,80.31519982,47910533,280.9400024,5.7417855,Underperforms expected adoption
Croatia,3200.0,4393.035971574311,-1193.0359715743107,-0.3167848994624194,4.9,57.51589817,3875325,15.28999996,5.7945905,Underperforms expected adoption
USA,1520000.0,2199055.318906478,-679055.3189064781,-0.369317329636333,10.0,80.1247798,345426566,4391.02002,17.527048,Underperforms expected adoption
Israel,76400.0,110686.63789016395,-34286.637890163955,-0.37071637621116516,21.0,91.53618884,9387015,80.40000153,6.8340044,Underperforms expected adoption
Cyprus,1860.0,2829.904076343453,-969.9040763434532,-0.4194821445834993,12.0,66.68242592,1358287,5.789999962,6.989144,Underperforms expected adoption
Canada,252000.0,430390.6221127346,-178390.6221127346,-0.5352624875491507,17.0,82.70025658,39742429,636.789978,20.198366,Underperforms expected adoption
Switzerland,67000.0,115149.96407602569,-48149.96407602569,-0.541536453928261,28.0,85.461537,8921979,78.37000275,4.49567,Underperforms expected adoption
Finland,37000.0,69499.4572374379,-32499.457237437906,-0.6303883921990181,50.0,74.26371905,5617311,82.55000305,15.657763,Underperforms expected adoption
Slovenia,4300.0,8712.345154773437,-4412.345154773437,-0.7060082224324216,8.1,55.75777084,2118692,16.70999908,8.547228,Underperforms expected adoption
Greece,17000.0,38126.179745283065,-21126.179745283065,-0.8076552410844027,12.0,78.99678565,10047813,57.08000183,5.651658,Underperforms expected adoption
Malaysia,27300.0,70056.09993265667,-42756.09993265667,-0.942387291303044,3.6,76.91702966,35557670,198.1199951,10.931114,Underperforms expected adoption
New Zealand,9700.0,25209.15956209203,-15509.15956209203,-0.9550180975180673,11.0,83.93706588,5213942,44.00999832,15.712585,Underperforms expected adoption
Czech Republic,15800.0,42021.013280095154,-26221.013280095154,-0.9781203775246485,6.8,72.79479846,10735857,72.80999756,7.865944,Underperforms expected adoption
Slovakia,4400.0,11926.395085558024,-7526.395085558024,-0.9970060745277447,4.8,53.1919703,5506759,29.52000046,3.5832222,Underperforms expected adoption
Mexico,27100.0,84301.98990461408,-57201.98990461408,-1.134846704238143,2.2,79.7538806,130861001,355.1799927,4.857969,Underperforms expected adoption
Sweden,157000.0,523405.0328109966,-366405.0328109966,-1.2041053414708642,58.0,88.85597483,10606993,172.1499939,5.3694525,Underperforms expected adoption
Korea,127900.0,545715.7545813076,-417815.75458130764,-1.4508435494744276,9.2,81.16825285,51717587,625.3800049,12.192497,Underperforms expected adoption
Norway,113500.0,573262.2619519104,-459762.26195191045,-1.6195334086891489,92.0,83.32937379,5576656,157.1100006,10.075698,Underperforms expected adoption
Japan,103000.0,970116.8763120743,-867116.8763120743,-2.242678889165072,2.8,92.1901718,123753041,1016.390015,8.13846,Underperforms expected adoption
Russia,32600.0,307997.3495156479,-275397.3495156479,-2.2457514614949634,2.9,75.11191362,144820421,1209.310059,18.845648,Underperforms expected adoption
Chile,5600.0,56011.73609396444,-50411.73609396444,-2.302633941898481,2.1,88.99509085,19764774,88.62000275,5.2821336,Underperforms expected adoption
Bulgaria,2170.0,22863.79800763309,-20693.79800763309,-2.3544106320455223,5.0,73.94993569,6757686,38.29999924,5.9598427,Underperforms expected adoption
South Africa,1940.0,46291.113094663655,-44351.113094663655,-3.171768298867426,0.61,63.69179849,64007187,247.5200043,8.479182,Underperforms expected adoption
Iceland,4300.0,192169.27386935623,-187869.27386935623,-3.799534268282775,42.0,94.18190399,393404,19.04999924,12.853874,Underperforms expected adoption
