region_country,group,ev_sales,expected_ev_sales,adoption_gap_sales,adoption_gap_log,ev_sales_share,Urban_pct
Luxembourg,Overperformers,16800.0,1106.3086044932193,15693.691395506781,2.7195060180581425,36.0,94.84387029
United Kingdom,Overperformers,550000.0,120208.46190957763,429791.5380904224,1.5206843593539467,28.0,83.24295444
Portugal,Overperformers,70000.0,15722.237935817855,54277.76206418214,1.4933697863096658,33.0,61.32819073
China,Overperformers,11300000.0,2868460.0397231984,8431539.960276801,1.3710271513543155,48.0,65.8946981
Belgium,Overperformers,197000.0,54681.85321997273,142318.14678002728,1.2816586140514605,43.0,87.6126557
Denmark,Overperformers,96100.0,28418.7935862495,67681.20641375051,1.2183138620818266,56.0,88.69605527
Costa Rica,Overperformers,11022.0,3530.6097530452407,7491.390246954759,1.1382302112891072,15.0,79.31076724
Ireland,Overperformers,30000.0,9976.98488704111,20023.015112958892,1.1008495596303174,25.0,64.34703793
Uzbekistan,Overperformers,22600.0,7536.142470047644,15063.857529952356,1.0981510256514966,5.0,50.99866867
Indonesia,Overperformers,49150.0,17046.295429870024,32103.704570129976,1.0589056269331145,7.3,58.75096354
Mexico,Underperformers,27100.0,84301.98990461408,-57201.98990461408,-1.134846704238143,2.2,79.7538806
Sweden,Underperformers,157000.0,523405.0328109966,-366405.0328109966,-1.2041053414708642,58.0,88.85597483
Korea,Underperformers,127900.0,545715.7545813076,-417815.75458130764,-1.4508435494744276,9.2,81.16825285
Norway,Underperformers,113500.0,573262.2619519104,-459762.26195191045,-1.6195334086891489,92.0,83.32937379
Japan,Underperformers,103000.0,970116.8763120743,-867116.8763120743,-2.242678889165072,2.8,92.1901718
Russia,Underperformers,32600.0,307997.3495156479,-275397.3495156479,-2.2457514614949634,2.9,75.11191362
Chile,Underperformers,5600.0,56011.73609396444,-50411.73609396444,-2.302633941898481,2.1,88.99509085
Bulgaria,Underperformers,2170.0,22863.79800763309,-20693.79800763309,-2.3544106320455223,5.0,73.94993569
South Africa,Underperformers,1940.0,46291.113094663655,-44351.113094663655,-3.171768298867426,0.61,63.69179849
Iceland,Underperformers,4300.0,192169.27386935623,-187869.27386935623,-3.799534268282775,42.0,94.18190399
