region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct,ev_sales,ev_sales_log,population_log,electricity_generation_log,electricity_per_capita,ev_sales_share
Australia,2024,AUS,22.83231,26713206,281.6400146,87.602147,112000.0,11.626263078808801,17.10066864526912,5.6441740547067045,1.0543100464990985e-05,13.0
Austria,2024,AUT,7.482617,9120815,78.47000122,69.46581811,62000.0,11.034905792929415,16.026069831732194,4.375379607303793,8.603397966080882e-06,24.0
Belgium,2024,BEL,9.195861,11738761,76.01000214,87.6126557,197000.0,12.190964083849375,16.278406915355788,4.343935311339758,6.475129882957835e-06,43.0
Brazil,2024,BRA,13.228536,211998565,745.7199707,87.89585495,125000.0,11.736077016252437,19.172090068462467,6.615690242963236,3.5175708415762153e-06,6.4
Bulgaria,2024,BGR,5.9598427,6757686,38.29999924,73.94993569,2170.0,7.682943169878292,15.726191229705826,3.671224499536793,5.667620431017363e-06,5.0
Canada,2024,CAN,20.198366,39742429,636.789978,82.70025658,252000.0,12.437188334739655,17.497929940676997,6.4580090410627236,1.6022925473427907e-05,17.0
Chile,2024,CHL,5.2821336,19764774,88.62000275,88.99509085,5600.0,8.630700432209832,16.799411870888957,4.495578540043112,4.483734686265575e-06,2.1
China,2024,CHN,9.939262,1419321284,10086.87988,65.8946981,11300000.0,16.24031337217814,21.073444625986458,9.21908997035737,7.1068333813558175e-06,48.0
Colombia,2024,COL,4.6946015,52886360,89.13999939,78.52108119,13100.0,9.48044384215367,17.783656037498712,4.5013640104952515,1.6855007489643832e-06,7.4
Costa Rica,2024,CRI,2.9205217,5129909,11.0,79.31076724,11022.0,9.307739277963316,15.450598673133408,2.4849066497880004,2.144287549740161e-06,15.0
Croatia,2024,HRV,5.7945905,3875325,15.28999996,57.51589817,3200.0,8.071218539969863,15.170140346263194,2.7905514201584594,3.945475530439382e-06,4.9
Cyprus,2024,CYP,6.989144,1358287,5.789999962,66.68242592,1860.0,7.528869256642251,14.12173564119893,1.9154509359741394,4.26272206242127e-06,12.0
Czech Republic,2024,CZE,7.865944,10735857,72.80999756,72.79479846,15800.0,9.6678285081515,16.18909991157856,4.301494190724109,6.781945545660677e-06,6.8
Denmark,2024,DNK,7.6854186,5977417,35.06000137,88.69605527,96100.0,11.473155000731508,15.603499260110945,3.585184255767406,5.865409987290497e-06,56.0
Estonia,2024,EST,8.905476,1360548,6.260000229,70.69811615,2600.0,7.8636512654486515,14.123398852727396,1.982379860379404,4.601087377292091e-06,10.0
Finland,2024,FIN,15.657763,5617311,82.55000305,74.26371905,37000.0,10.518700218288165,15.541363815636911,4.425445291546489,1.4695644063502982e-05,50.0
France,2024,FRA,5.077144,66548532,561.7800293,78.7999751,450000.0,13.017005083966255,18.013442058986172,6.332888840069065,8.441659228486062e-06,24.0
Germany,2024,DEU,7.8017473,84552234,495.9899902,82.02114326,570000.0,13.25339339419516,18.252880067022176,6.208569885451151,5.866077887427552e-06,19.0
Greece,2024,GRC,5.651658,10047813,57.08000183,78.99678565,17000.0,9.741027444837728,16.122865656372287,4.061821402024805,5.6808383904039615e-06,12.0
Hungary,2024,HUN,4.90974,9676135,38.0,70.49182594,14300.0,9.568084743872936,16.08517320600807,3.6635616461296463,3.92718786995014e-06,12.0
Iceland,2024,ISL,12.853874,393404,19.04999924,94.18190399,4300.0,8.366602832783736,12.882594894566546,2.9982291158473404,4.842350164207786e-05,42.0
India,2024,IND,2.9376976,1450935785,2036.52002,35.37889724,92095.0,11.43058679024704,21.095474554872627,7.619488670833617,1.403590731618767e-06,2.1
Indonesia,2024,IDN,6.711167,283487933,371.5400085,58.75096354,49150.0,10.802652471248297,19.462680119379783,5.920344437421198,1.3106025521728292e-06,7.3
Ireland,2024,IRL,11.456779,5255016,31.07999992,64.34703793,30000.0,10.308985993422082,15.474693797302228,3.468232780504548,5.914349246510382e-06,25.0
Israel,2024,ISR,6.8340044,9387015,80.40000153,91.53618884,76400.0,11.243751064074187,16.054838015802602,4.399375291804564,8.565023229429163e-06,21.0
Italy,2024,ITA,5.9985695,59342870,267.5599976,69.60475351,118000.0,11.678448377988165,17.898842553860817,5.593074343735229,4.5087134747611625e-06,7.9
Japan,2024,JPN,8.13846,123753041,1016.390015,92.1901718,103000.0,11.542493975902508,18.633798540929128,6.9249958181081475,8.213050821110731e-06,2.8
Korea,2024,KOR,12.192497,51717587,625.3800049,81.16825285,127900.0,11.759011806144656,17.761308475049592,6.439957223509392,1.2092211589454086e-05,9.2
Latvia,2024,LVA,7.404507,1871874,6.329999924,68.48394926,2100.0,7.650168700845001,14.442451160285952,1.9919755055302109,3.3816378260502576e-06,12.0
Lithuania,2024,LTU,7.6165133,2859112,7.389999866,68.82858333,3500.0,8.160803920954665,14.866021994832582,2.12704050450772,2.584718565064957e-06,12.0
Luxembourg,2024,LUX,11.798287,673042,1.50999999,94.84387029,16800.0,9.729193687429403,13.419564499602139,0.9202827491596288,2.243544964504444e-06,36.0
Malaysia,2024,MYS,10.931114,35557670,198.1199951,76.91702966,27300.0,10.214678610538817,17.386666471526958,5.2939076334510595,5.571793514591929e-06,3.6
Mexico,2024,MEX,4.857969,130861001,355.1799927,79.7538806,27100.0,10.207325906555994,18.68964626441461,5.875436200552604,2.7141775623434214e-06,2.2
Netherlands,2024,NLD,8.075445,18228740,122.3300018,95.63965171,182000.0,12.111767460549332,16.71851008228422,4.814863704172886,6.710831456260828e-06,48.0
New Zealand,2024,NZL,15.712585,5213942,44.00999832,83.93706588,9700.0,9.179984251961283,15.46684694130996,3.8068846499798017,8.4408300514275e-06,11.0
Norway,2024,NOR,10.075698,5576656,157.1100006,83.32937379,113500.0,11.63956692643747,15.534100050880363,5.06329099711688,2.8172797569009098e-05,92.0
