Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,65.35454978,65.33511379,65.28206913,65.19829226,65.08865337,64.95802264,64.81127028,64.65326648,64.48888141,64.32298528,64.16129655,63.99926058,63.82520852,63.63829144,63.43925313,63.2288374,63.00778806,62.77684889,62.5367637,62.28827629,62.00288376,61.92753399,61.88116579,61.83514927,61.79093968,
Africa Eastern and Southern,28.46868798,28.83150614,29.22103062,29.6390356,30.08783707,30.53727586,30.98764955,31.36297739,31.84899958,32.24006776,32.59036098,32.93809859,33.28670608,33.66731428,34.0775774,34.49068094,34.88121067,35.28298683,35.71471846,36.0973307,36.48832196,36.90854261,37.36057811,37.77230124,38.24144143,
Afghanistan,18.55819952,18.74123813,18.94124801,19.16003464,19.3993594,19.70590958,20.11045302,20.59065792,21.12414813,21.68854751,22.2614799,22.82056916,23.34343913,23.80771367,24.19101664,24.46491184,24.65883457,24.83528212,24.99916452,25.14372588,25.26221034,25.34786203,25.39392506,25.47305296,25.70073526,
Africa Western and Central,38.85246844,39.45294597,40.04936741,40.64484828,41.23982013,41.83645946,42.43992588,43.01231273,43.57988739,44.15120956,44.72601984,45.29879958,45.87325469,46.44633091,47.0221646,47.60238926,48.1739704,48.74741388,49.3179476,49.89007515,50.47631788,51.07239699,51.68169411,52.28290819,52.85956422,
Angola,50.50706535,51.72247904,52.89262348,54.00435454,55.04452809,56,56.89390327,57.75646329,58.58517458,59.37753163,60.13102895,60.84316104,61.51142239,62.13330752,62.72311579,63.51567833,64.29923025,65.08505251,65.87321367,66.66378232,67.45682702,68.25241636,69.0506189,69.85150322,70.6551379,
Albania,41.61358296,42.35451399,43.15204196,44.02950892,44.97849257,45.99376669,47.07010509,48.20228157,49.38506992,50.61324394,51.88157743,53.29173829,53.86375537,54.29796781,54.73258132,55.15792914,55.57387345,55.98027643,56.37700026,56.76390713,57.14085922,57.5077187,57.86434777,58.21060861,58.5463634,
Andorra,92.25593567,91.89497111,91.46053083,90.98875154,90.51576996,89.95636319,89.37892189,89.05000305,88.94073639,88.84433315,88.76047261,88.68883403,88.62909671,88.58093991,88.54404292,88.51808501,88.50274546,88.49770355,88.50809985,88.53917937,88.59077804,88.66273182,88.75487663,88.82016092,88.88500448,
Arab World,52.44143058,52.73816843,53.04285261,53.3521914,53.66387699,53.98200029,54.31160236,54.6554574,55.01213065,55.35959816,55.59209773,56.0520809,56.76097789,57.57471356,58.02782389,58.35171227,58.5622938,58.68089416,58.78470253,58.89628794,59.08996899,59.11248471,59.33393251,59.5699408,59.81987524,
United Arab Emirates,79.28709248,79.74690026,80.27056029,80.84894327,81.47291993,82.21228328,82.55889686,82.7586085,82.96589635,83.1701993,83.37142991,83.56950078,83.76432448,83.95581358,84.14388068,84.32843835,84.50939917,84.68667572,84.86018058,85.02982634,85.19552557,85.35719085,85.51473477,85.6680699,85.81710883,
Argentina,89.17602711,89.36829513,89.56167019,89.75246826,89.93972088,90.12337377,90.30337265,90.47966323,90.65219121,90.82090232,90.99300519,91.10722867,91.20412172,91.30145077,91.39753455,91.49230191,91.58568172,91.67760284,91.76799413,91.85678445,91.94390266,92.02927762,92.11283819,92.19451323,92.2742316,
Armenia,64.95923792,64.82281238,64.7396212,64.66635375,64.59726336,64.53342106,64.47589787,64.42576479,64.38409284,64.35195304,64.3304164,64.32074491,64.32683795,64.35840611,64.41429342,64.49296234,64.59287533,64.71249486,64.85028338,65.00470336,65.17421725,65.35728753,65.56244629,65.6956882,65.81136714,
American Samoa,88.60758093,88.55343306,88.43300933,88.2572251,88.03614553,87.77983577,87.49836099,87.20178634,86.90017697,86.60359804,86.31906735,86.02849917,85.71611743,85.38464652,85.0351448,84.66867065,84.28628244,83.88903854,83.47799733,83.05421718,82.62407806,82.21270915,81.7947977,81.37215427,80.9446987,
Antigua and Barbuda,32.2326072,31.75543482,31.22803749,30.60037434,29.90556672,29.17379957,28.43525787,27.72012658,27.05859066,26.48083508,26.01704479,25.69468986,25.45556186,25.24756677,25.08997261,25,24.92398075,24.85002638,24.77814321,24.70833752,24.64061563,24.57498382,24.5114484,24.45001567,24.39069193,
Australia,85.10716086,85.14810942,85.28421028,85.40970778,85.51876761,85.61908712,85.74925443,85.89685196,86.0253817,86.12781391,86.21986005,86.32689461,86.44512591,86.57405158,86.72212893,86.87786425,87.01662952,87.12809266,87.22676808,87.30196479,87.27134705,87.23534076,87.33432683,87.48669557,87.602147,
Austria,66.7690239,66.84081613,66.88874571,66.9263575,66.95586129,66.97979507,67.00069681,67.02110449,67.04355608,67.07058957,67.10474293,67.14842554,67.20859098,67.29813088,67.41543276,67.55761755,67.72180619,67.90511961,68.10467872,68.31760448,68.54101779,68.7736017,68.99808513,69.22653583,69.46581811,
Azerbaijan,51.13208389,51.1584816,51.2144165,51.72579956,52.28319931,52.50285339,52.65401459,52.82815552,53.0633049,53.13581254,53.28483677,53.50854619,53.80764423,54.18210874,54.63191759,55.15704863,55.75747972,56.43318871,57.18415347,58.1308192,58.29346918,58.36599697,58.43828159,58.50753505,58.57379584,
Burundi,8.043814498,8.241073087,8.451082774,8.676143394,8.918554779,9.180616762,9.464629178,9.772891857,10.10643534,10.49799004,10.98430973,11.56166522,12.22445968,12.96709627,13.78397817,14.66950855,15.61809056,16.62412739,17.6820222,18.78617815,19.93099843,21.11088619,22.3202446,23.55347684,24.83028387,
Belgium,82.01525204,82.33568939,82.65096633,82.96095388,83.26552308,83.56454497,83.85789059,84.14543096,84.42703712,84.70258011,84.97193096,85.2349607,85.49154038,85.74154102,85.98483367,86.22128935,86.4507791,86.67317395,86.88834495,87.09616312,87.2964995,87.43055641,87.48920027,87.55149264,87.6126557,
Benin,38.27595173,38.61862577,39.00350699,39.4169696,39.85256991,40.3097749,40.78777941,41.28577826,41.80296627,42.33853829,42.89168912,43.46161361,44.04750658,44.65028837,45.28805292,45.94074033,46.6094559,47.29427749,47.99528293,48.71255006,49.44615672,50.19618076,50.9627,51.7457923,52.54553548,
Burkina Faso,18.00035033,18.85914521,19.72505358,20.56332726,21.33921808,22.01797784,22.55283069,22.97417608,23.36337478,23.74523256,24.1150925,24.46829768,24.80019121,25.10611615,25.3814156,25.62143265,25.82151037,25.97699187,26.08322022,26.11872544,26.35783736,26.81143077,27.27913697,27.78724784,28.33525149,
Bangladesh,23.3145115,23.69992148,24.11323835,24.55255575,25.00948099,25.47695407,25.947915,26.41530378,26.87206041,27.31112491,27.72543726,28.11001627,28.47879729,28.84070361,29.19444423,29.53950995,29.87539155,30.20157984,30.5175656,30.82283963,31.11689273,31.39921569,31.67373473,32.1578465,32.67831963,
Bulgaria,68.26314545,69.19671198,69.48591614,69.78084564,69.91933441,70.08695984,70.50752258,70.68441772,70.90209961,71.30173492,71.51493073,72.61016539,72.76848602,72.96328216,73.08448792,73.10305786,73.17500305,73.39045715,73.6002121,73.7162323,73.32398987,73.34676562,73.4799164,73.73226716,73.94993569,
Bahrain,87.83562096,87.83971462,88.14278676,88.83253397,89.8569006,91.1681655,92.71860754,94.46050556,96.34613842,98.32778499,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"Bahamas, The",81.03611616,81.15272052,81.30542068,81.48196146,81.67084109,81.8605578,82.03960984,82.19649543,82.31971281,82.39776021,82.41981044,82.41303475,82.39474853,82.36357911,82.3180931,82.25685714,82.17843786,82.08140187,81.96431582,81.82574633,81.66426002,81.47842353,81.3200717,81.32137992,81.3249263,
Bosnia and Herzegovina,42.55398986,42.87614784,43.19755857,43.51819932,43.83804735,44.15707993,44.47527433,44.7926078,45.10905762,45.42460104,45.73921533,46.05287776,46.3655656,46.69542247,47.13078348,47.57116451,48.02488458,48.49184018,48.97192783,49.465044,49.97108521,50.48994795,51.02152871,51.56572398,52.12243028,
Belarus,69.91722954,70.31472015,70.88047028,71.30924225,71.76585388,72.03101349,72.61138153,73.09134674,73.55316925,74.19096466,74.55014038,75.05975342,75.52810669,75.94970703,76.34052277,76.62638855,76.84587097,77.02082062,77.21327209,77.45507719,77.78903858,78.1310868,78.47327879,78.81464207,79.15510152,
Belize,47.68368475,47.62579932,47.48650099,47.2806246,47.02266559,46.7271194,46.40848146,46.08124721,45.75991207,45.45897149,45.19148382,44.94178191,44.6903068,44.43805424,44.18501618,43.93118459,43.67655143,43.42110867,43.16484828,42.90776222,42.64984244,42.39108092,42.13732513,41.94594375,41.75321073,
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bolivia,61.85872016,62.33748104,62.81876321,63.29187111,63.75646716,64.21330622,64.66314314,65.10673278,65.54483,65.97818964,66.40756657,66.83371563,67.25814448,67.66970555,68.03742541,68.39580513,68.74463279,69.08380163,69.41338798,69.73349867,70.04426355,70.34504128,70.63525987,70.9151414,71.23614538,
Brazil,81.14843654,81.59604506,81.99434915,82.35403358,82.68168248,82.98387996,83.26721014,83.53825713,83.80360506,84.06983803,84.34384604,84.62257586,84.89738742,85.16765854,85.43313679,85.69356971,85.94870484,86.19828976,86.44207199,86.67979911,86.91121865,87.13607817,87.34955624,87.61597102,87.89585495,
Barbados,62.53793978,62.30489111,61.96557791,61.55438613,61.10197123,60.63898871,60.19609405,59.80394272,59.49319022,59.29449202,59.2366009,59.23669321,59.23721511,59.23853708,59.24103134,59.24507009,59.25102553,59.25926987,59.27017531,59.28411406,59.30145833,59.32203654,59.35385141,59.42357402,59.53970324,
